,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,area_16,area_17,area_18,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,in_region_14,in_region_15,in_region_16,in_region_17,in_region_18,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,decoder_method,model_filename,pixel_based_sampling
0,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,0,3.7735846042633057,15.528328895568848,446.624755859375,19.45465660095215,36.706581115722656,10.442492485046387,10.615636825561523,25.235504150390625,3.487046957015991,49.14664840698242,13.469520568847656,2.8177552223205566,7.64056921005249,7.747889041900635,9.802600860595703,22.64236068725586,16.97945213317871,24.6429386138916,12.062955856323242,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2229302,0.92945063,2.9076738,0.6658191,0.53578454,0.9866567,0.55112725,1.0509802,0.6920136,0.5020571,0.7214897,0.74629617,0.9557877,0.93236876,1.2376766,1.8414066,0.33607063,0.50703907,0.5969696,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,False
1,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,1,2.8170790672302246,10.857402801513672,17.349592208862305,5.8808722496032715,15.772726058959961,10.46643352508545,5.408169269561768,23.707998275756836,6.976800918579102,25.906394958496094,10.12790584564209,4.017416000366211,15.406719207763672,4.222569465637207,7.729143142700195,7.654147148132324,17.54877281188965,16.641294479370117,61.140106201171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5462752,0.361471,0.48552263,1.2309396,0.97331816,0.8168864,1.0283723,1.4064467,0.8554362,2.0148036,1.1909747,0.29006776,1.3763644,1.0543997,0.8532301,0.9743143,2.166394,1.1517793,1.3702289,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,False
2,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,2,4.027038097381592,7.464156150817871,212.62669372558594,62.073360443115234,57.071685791015625,9.457132339477539,7.146836757659912,12.3445405960083,7.994014739990234,52.79955291748047,4.758910179138184,11.169259071350098,10.721214294433594,39.98526382446289,12.187262535095215,10.322065353393555,9.483457565307617,13.805304527282715,77.24932861328125,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4754095,0.39783737,2.44101,1.7603363,1.221104,0.9553293,1.7778685,0.6202687,1.3196484,1.3170104,0.32167593,0.08653245,2.0596611,2.969037,0.5019321,0.7793474,1.619715,1.458445,0.13375482,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,False
3,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,3,3.829155445098877,34.7465934753418,42.80501174926758,13.56700611114502,13.940702438354492,5.096897125244141,4.271505355834961,22.5061092376709,2.479854106903076,23.2227783203125,5.190080165863037,5.883562088012695,13.611004829406738,6.180754661560059,19.92391014099121,5.832132339477539,18.90941619873047,21.462160110473633,15.870512008666992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21404798,1.109424,0.12877314,0.41097552,1.0307952,0.65604347,0.8601887,0.3339324,0.84372324,1.127006,0.30265793,0.5965139,0.52323234,0.6800255,0.87300813,0.7549738,0.55910605,2.1732183,1.3852016,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,False
4,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,4,3.139141798019409,7.834707260131836,922.32177734375,80.0874252319336,25.812191009521484,12.625977516174316,9.833708763122559,19.35602378845215,8.551416397094727,88.19001770019531,5.187624454498291,5.403412342071533,10.9625825881958,8.427206039428711,27.461292266845703,13.588757514953613,41.92056655883789,43.272361755371094,13.542966842651367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4037966,0.054983635,1.6264172,7.257539,1.9110668,2.0608895,1.2705109,0.84093636,1.0267699,3.3088453,0.6174097,0.07765453,0.95380324,0.942531,0.46074212,0.651408,0.43962327,3.243996,0.33838385,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,False
5,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,5,3.428753614425659,6.0111083984375,101.92923736572266,13.819817543029785,15.668642044067383,5.762470245361328,4.716709613800049,21.353452682495117,4.967231750488281,48.68636703491211,23.663618087768555,34.588401794433594,15.737798690795898,4.9850921630859375,7.7030487060546875,8.150840759277344,217.4016876220703,41.9872932434082,39.429412841796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.63596344,0.21549578,1.0488229,0.8533448,1.2823958,0.64515495,1.1531076,0.5123635,0.28038687,2.1517985,0.9590873,1.0195587,0.34484717,0.7101971,2.3029077,2.1848583,1.5553669,1.5089679,0.87080103,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,False
6,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,6,18515.33203125,7.724734306335449,126.58271026611328,233.77420043945312,23.538007736206055,19.10680389404297,12.58681583404541,16.844438552856445,12.41396427154541,114.49376678466797,3.903726577758789,8.601816177368164,23.879085540771484,9.262089729309082,18.448705673217773,15.609332084655762,21.06934356689453,18.43903923034668,322.1394348144531,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.3688917,0.24599783,0.85463434,2.3880327,0.6968384,2.148602,0.33732098,0.6661653,0.5543944,4.137812,0.6281332,0.24312258,0.7066405,0.34477103,1.0545862,0.76574,0.156075,0.62275785,1.4836173,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,False
7,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,7,2.7775371074676514,19.177248001098633,35.82061004638672,27.3807430267334,14.47289752960205,10.701558113098145,6.668568134307861,13.899726867675781,7.6924824714660645,28.12254524230957,49.297054290771484,7.247872352600098,13.62654972076416,5.431300640106201,7.166440010070801,12.956944465637207,28.262243270874023,16.057144165039062,48.545284271240234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.18485554,2.385226,0.73101604,1.5674317,0.46771273,0.60368,0.81065905,0.48938632,1.1739573,1.0271156,1.3234437,0.8644885,2.2483404,1.2574853,0.66811657,2.4048204,1.4750427,0.25882718,2.2411702,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,False
8,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,8,2.9881019592285156,5.853854179382324,37.507301330566406,8.680307388305664,20.65976333618164,22.07544708251953,8.649456024169922,37.4073600769043,11.073237419128418,32.40594482421875,63.35733413696289,13.865548133850098,9.266876220703125,5.682659149169922,26.588396072387695,9.012187957763672,23.612258911132812,22.70450210571289,22.067045211791992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.4379805,0.6953146,0.50282466,0.11897097,0.99756104,0.93978906,0.7196602,1.0712507,0.73070157,0.79944026,2.817783,0.71630245,0.4450137,2.1095066,0.25907862,0.12170529,0.569001,0.6889503,1.1225072,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,False
9,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,9,2.402249336242676,19.62554168701172,92.28104400634766,8.151545524597168,32.51432800292969,11.555205345153809,2.682014226913452,11.607090950012207,4.137655258178711,32.6223030090332,6.6234259605407715,14.407144546508789,11.320721626281738,7.295875072479248,9.692472457885742,11.385648727416992,7.22721004486084,35.7061767578125,12.839739799499512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.57089454,0.3652282,1.1834302,0.64170647,0.91114926,0.12786847,0.3967921,0.47248966,0.5511673,1.420256,0.93999726,0.86781585,0.25953472,0.6098836,0.52939665,0.3298279,0.5153464,3.1364176,0.18274698,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,False
