,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,area_16,area_17,area_18,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,in_region_14,in_region_15,in_region_16,in_region_17,in_region_18,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,decoder_method,model_filename,pixel_based_sampling
0,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,0,1.4587935209274292,2.9316658973693848,24.372304916381836,2.908501386642456,8.120060920715332,3.0317776203155518,3.4499664306640625,2.802255868911743,1.9507124423980713,9.01024055480957,1.7212861776351929,1.1255863904953003,3.7877533435821533,2.913395404815674,3.0218417644500732,3.7427592277526855,3.338547468185425,5.354499816894531,2.4240691661834717,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.1858507,0.5380837,3.2999756,0.59575427,0.4217148,1.2997317,0.544684,1.3035762,0.584515,0.7401381,0.555665,0.6891595,0.75153613,1.0078384,1.096412,1.9645935,0.56445843,0.49305528,0.4267778,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
1,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,1,1.5462875366210938,2.3430521488189697,4.231338024139404,2.7569546699523926,6.6248250007629395,3.300023078918457,2.5586915016174316,1.8727394342422485,2.192108154296875,6.048220157623291,1.0900239944458008,1.0989375114440918,4.502285480499268,2.2836408615112305,2.5883209705352783,2.29599666595459,4.650035858154297,5.6783342361450195,6.231594562530518,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.65619606,0.47864565,0.39024556,1.1548169,1.2677174,0.7593526,0.99800205,1.3117664,0.9045686,1.5888288,1.1865169,0.23380409,1.547467,1.188563,0.88924676,1.1584215,2.2767975,1.0586758,2.1680725,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
2,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,2,1.5655224323272705,3.6464083194732666,7.8756208419799805,8.570050239562988,11.754889488220215,2.764939069747925,3.026740789413452,1.9795349836349487,3.0130772590637207,8.026196479797363,1.275314211845398,2.0371077060699463,3.868751049041748,7.770638465881348,3.269932508468628,2.5787017345428467,2.830735445022583,4.574565410614014,6.29239559173584,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.2880027,0.26804686,2.7893167,0.7537257,1.8923123,0.49770513,2.212927,0.70207894,1.4673783,1.355781,0.28558937,0.26495513,1.9700624,2.9814377,0.67402077,0.53525245,1.5615627,1.4718461,0.55497134,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
3,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,3,1.5497231483459473,4.383232116699219,7.632349491119385,3.156308889389038,6.432648181915283,2.513892412185669,2.3018877506256104,1.6632874011993408,1.8505890369415283,5.839643478393555,1.2219079732894897,1.5839762687683105,4.609358787536621,2.472205400466919,5.867865562438965,3.067085027694702,3.7935290336608887,5.068413257598877,3.065425157546997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2537806,0.8916509,0.187096,0.12646137,0.97730786,0.57441175,0.8365145,0.3561237,0.9416307,1.1181885,0.3358673,0.58055586,0.10189506,0.6015064,0.9396534,0.8479756,0.7209974,1.8699154,1.1970776,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
4,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,4,1.450147271156311,2.2952048778533936,40.613525390625,6.9394025802612305,12.030569076538086,3.9214909076690674,4.328792572021484,2.853013753890991,3.6113390922546387,11.107065200805664,1.6978501081466675,1.9270445108413696,3.6929678916931152,2.6900739669799805,5.261891841888428,3.1615984439849854,6.22422456741333,18.43400764465332,4.1759490966796875,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.47638568,0.26503697,1.0785762,7.976567,2.2906253,1.9238465,1.5141009,1.0399123,1.251454,2.621881,0.71491396,0.15480478,0.9554845,1.0114417,0.5370122,0.25297153,0.4210351,4.8023148,0.44433722,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
5,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,5,1.6792312860488892,1.7761056423187256,9.242015838623047,4.134134769439697,7.483891010284424,3.68231463432312,2.7942850589752197,1.4344149827957153,2.0285472869873047,7.006308555603027,5.753997802734375,4.050073623657227,4.556356906890869,2.272963523864746,2.793489456176758,3.5675551891326904,6.555739879608154,7.809606552124023,4.566333293914795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5603556,0.3273365,1.0137004,0.7814177,0.92129487,0.72568136,1.0918974,0.49099174,0.27199417,1.9273124,1.0047787,0.42705673,0.53827995,0.5295969,2.320956,2.0422502,1.2360617,1.447389,1.0928093,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
6,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,6,43.75506591796875,2.4435715675354004,14.34922981262207,36.93609619140625,7.764127254486084,5.302310943603516,4.621750354766846,1.9906480312347412,3.1533658504486084,16.381778717041016,0.8027635216712952,3.9405503273010254,4.7706618309021,2.831850051879883,4.329577922821045,3.136889696121216,5.747480392456055,5.957386016845703,19.219402313232422,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.52461046,0.3504036,1.1085918,1.5421675,1.0148103,2.0534558,0.24113251,0.77586716,0.52225447,3.651806,0.62874603,0.3814741,0.69501364,0.35077208,1.2259254,1.1984468,0.11105635,0.90881133,2.7195332,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
7,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,7,1.545519471168518,2.8960120677948,5.91618537902832,5.53894567489624,6.606584072113037,3.8882691860198975,3.7162184715270996,1.8241676092147827,3.0677144527435303,8.38605785369873,6.2589592933654785,1.7847667932510376,4.808825969696045,3.170255184173584,3.267893075942993,3.3728909492492676,4.096848487854004,5.221590518951416,5.271603584289551,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.33739442,2.2423735,0.51424944,1.6092981,0.6391398,0.52822703,0.46002045,0.5903987,1.2552592,0.75256985,0.26296946,0.9296239,2.428369,1.3159688,0.69101155,2.834937,1.3754469,0.33639404,2.8280547,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
8,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,8,1.479546308517456,2.148171901702881,5.274133205413818,2.3027658462524414,10.614030838012695,4.8928446769714355,3.3343560695648193,2.8680105209350586,2.566671133041382,7.382568836212158,4.925633907318115,2.0782673358917236,4.105476379394531,2.958258867263794,5.639085292816162,2.523916721343994,3.6689252853393555,5.813251972198486,3.4607603549957275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.35272792,0.6136785,0.51231056,0.17108901,1.0163249,0.6225564,0.54950607,1.0457877,1.07826,0.7974474,3.7155545,0.5840688,0.3637747,2.0904942,0.64456177,0.27120546,0.67011815,0.85503846,1.5335017,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
9,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,9,1.2919963598251343,3.5829081535339355,6.060476779937744,3.643925666809082,9.48409366607666,4.101898670196533,2.3015060424804688,1.5623327493667603,2.22088360786438,6.686018943786621,1.826865792274475,2.3181848526000977,4.084366798400879,2.5650129318237305,3.161938190460205,3.8590517044067383,2.1392407417297363,7.274580001831055,2.3765788078308105,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.62462205,0.52375317,1.156574,0.7060886,1.1130781,0.3435801,0.34150994,0.26836044,0.5614154,1.6517406,0.9262706,0.9457075,0.29021665,0.4300883,0.6425233,0.838882,0.6294785,3.5065916,0.34739015,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
