,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,area_16,area_17,area_18,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,in_region_14,in_region_15,in_region_16,in_region_17,in_region_18,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,decoder_method,model_filename,pixel_based_sampling
0,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,0,1.307658314704895,2.672276496887207,18.744585037231445,3.0324580669403076,8.053788185119629,3.1096384525299072,2.654601812362671,3.0603017807006836,2.3023040294647217,8.935859680175781,1.8729742765426636,1.0499333143234253,4.134162902832031,2.850794792175293,2.83768630027771,3.405841827392578,3.6349825859069824,5.526213645935059,2.93601393699646,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.2053888,0.83526784,3.0048206,0.72848594,0.3481447,1.1313198,0.4630127,0.93889385,0.71517646,0.55225754,0.6552586,0.7108562,0.9290554,0.942501,1.1200473,2.069391,0.36272383,0.575978,0.62674963,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
1,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,1,1.1948322057724,2.311734437942505,3.6575114727020264,2.704975128173828,6.338563919067383,3.157752752304077,2.888446807861328,2.472869634628296,2.1124181747436523,5.422961235046387,1.3796555995941162,0.9873091578483582,4.415215015411377,2.6737213134765625,2.235476016998291,2.3073770999908447,4.092377185821533,5.216258525848389,5.5687079429626465,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.54035485,0.3041645,0.39467472,1.1357759,1.0141612,0.8086813,1.0423044,1.3806852,0.87910587,1.8674033,1.2717007,0.2571728,1.4336553,1.1529813,0.85706615,0.9697515,2.2185783,1.3335241,1.1964687,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
2,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,2,1.631650447845459,2.8959012031555176,6.761559009552002,6.410036087036133,11.691680908203125,2.4992763996124268,3.0901434421539307,2.032108783721924,2.6127235889434814,7.6177263259887695,1.3713507652282715,1.5085686445236206,4.084932327270508,8.955560684204102,3.0523648262023926,2.603694200515747,2.5906200408935547,4.59520149230957,6.5702996253967285,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.4295032,0.580668,2.13904,1.5863355,1.492899,0.8070028,1.8911852,0.55789477,1.1654209,1.1292402,0.32358164,0.09432981,2.1373394,3.2567694,0.58198047,0.8654636,1.6430268,1.549063,0.3793725,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
3,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,3,1.3891675472259521,3.8349804878234863,6.371372699737549,3.194807291030884,6.789967060089111,2.4669535160064697,2.610525369644165,2.2509169578552246,1.7392569780349731,5.65830135345459,1.4049183130264282,1.3682070970535278,3.980910301208496,2.898916482925415,5.333353042602539,2.663851737976074,3.3324060440063477,5.002599716186523,3.479297637939453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2580427,0.9957323,0.19134778,0.5154933,1.0087808,0.7135084,0.90280575,0.43286148,0.8230617,1.0423768,0.34713072,0.5587656,0.46396115,0.64289415,0.8995092,0.5612907,0.6360684,2.3093753,1.4596298,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
4,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,4,1.1875838041305542,2.331512928009033,31.511186599731445,6.950911998748779,11.899463653564453,3.3712611198425293,3.3751776218414307,2.813293218612671,3.457103729248047,10.579333305358887,1.660500168800354,1.6362426280975342,4.004344940185547,3.0962822437286377,5.106695652008057,2.8716721534729004,5.6614508628845215,13.517354965209961,3.849757194519043,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3845198,0.065074794,1.7665398,7.4969482,1.9740489,2.024851,1.3732952,0.66070575,1.0689026,2.8860102,0.6357757,0.117888786,1.09045,1.0345416,0.37025517,0.7771057,0.48631296,2.5466907,0.26572925,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
5,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,5,1.422465443611145,1.6269471645355225,7.341884613037109,4.056189060211182,8.13853931427002,3.060544490814209,2.9648597240448,1.8386095762252808,2.158961057662964,6.799886226654053,6.376739025115967,2.9497318267822266,4.901383399963379,2.3519959449768066,2.589373826980591,2.8932762145996094,5.926914691925049,6.091629981994629,5.139029026031494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.63473547,0.2387098,1.0928355,0.7725582,1.4532038,0.4590603,1.1796454,0.42268693,0.27349433,2.1709354,0.84238726,1.2057744,0.2875541,0.75972575,2.288903,1.8963449,1.0513502,1.542849,1.0983304,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
6,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,6,39.47246551513672,1.9438389539718628,12.010114669799805,33.44044494628906,7.6357316970825195,4.4092583656311035,4.945923805236816,2.3341217041015625,3.267733335494995,16.005558013916016,0.8780287504196167,3.088852882385254,4.906839370727539,3.1694440841674805,3.7840969562530518,2.6269636154174805,5.606595039367676,5.572755336761475,17.554901123046875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.36589336,0.24999782,0.49627903,2.5538914,0.7529934,2.3753276,0.24546364,0.68997955,0.6306961,4.178716,0.59890765,0.31714866,0.68425226,0.33027744,1.0269587,0.85908765,0.13811854,0.5828182,1.4167703,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
7,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,7,1.0707292556762695,3.148371696472168,5.122862339019775,5.4930596351623535,6.945298194885254,3.7494311332702637,3.7758867740631104,2.2812716960906982,2.676478147506714,8.177810668945312,5.252181529998779,1.3827922344207764,4.507040023803711,3.3723702430725098,2.8412728309631348,3.094982624053955,3.995720148086548,4.664055347442627,5.176453590393066,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.19792567,2.2500775,0.50567377,1.5533441,0.6286576,0.49138495,0.7704098,0.5811442,1.1177795,0.8251272,1.7578154,0.8148383,2.1966653,1.3247142,0.82588416,2.4328887,1.4297434,0.18619603,2.0865219,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
8,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,8,1.2314907312393188,2.1041572093963623,4.846889019012451,2.3391740322113037,10.215692520141602,3.988834857940674,3.4199206829071045,2.8951332569122314,2.886706590652466,7.336849212646484,3.859891176223755,2.0850045680999756,4.222667694091797,2.9960010051727295,5.128907680511475,2.2384419441223145,3.126528024673462,5.312314510345459,3.6210968494415283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.40654197,0.8232812,0.57913005,0.18854588,0.80803615,1.0429318,0.751389,1.0715986,0.76911324,0.7367348,2.9301,0.70436823,0.38849053,2.0333326,0.040826466,0.14285357,0.56140035,0.6686305,0.8342917,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
9,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,9,1.1510958671569824,2.8701882362365723,4.810601234436035,3.2807681560516357,9.60432243347168,3.5738375186920166,2.6332404613494873,2.121023178100586,1.9320441484451294,6.290074348449707,1.8560707569122314,2.022955894470215,4.075870990753174,3.053351402282715,3.1157143115997314,3.4948387145996094,1.854756236076355,7.045801639556885,2.8078722953796387,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.53998804,0.3327094,1.2410507,0.55823225,0.9515022,0.11876306,0.4097101,0.44944805,0.61242765,1.3112761,0.7954284,0.8368297,0.2532395,0.6099476,0.7200208,0.32545447,0.47763297,3.3890672,0.24507879,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
