,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,area_16,area_17,area_18,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,in_region_14,in_region_15,in_region_16,in_region_17,in_region_18,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,decoder_method,model_filename,pixel_based_sampling
0,one_hot,0.7,cp_ellipsoid_heatmap_cov,0,1.8942660093307495,2.569244384765625,17.267576217651367,5.051501750946045,7.407867431640625,2.9244298934936523,1.6484397649765015,4.837282180786133,1.943096399307251,14.928629875183105,3.078648328781128,1.17728853225708,6.42379093170166,2.7196285724639893,2.758345603942871,4.638217449188232,7.303866386413574,4.835791110992432,4.729856491088867,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.2103693,0.518043,2.898751,0.5512101,0.53168374,0.4568348,0.36062267,0.92753273,1.0285357,0.30727792,0.5126437,0.6719646,1.9334602,0.9853311,1.087448,0.6083433,0.26367003,0.47117317,0.7557698,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
1,one_hot,0.7,cp_ellipsoid_heatmap_cov,1,1.6096389293670654,3.75691294670105,4.6096062660217285,6.941919326782227,6.986656665802002,4.180647373199463,9.448365211486816,3.693612813949585,1.7013967037200928,7.385987281799316,1.438461184501648,1.272446632385254,5.382388591766357,4.216268539428711,2.5445523262023926,2.5878145694732666,3.1525654792785645,5.36317253112793,11.540242195129395,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.72928274,0.26860094,0.8513519,0.9485868,0.91756696,0.7393419,0.9979309,1.7285612,1.1589919,2.295079,1.2428464,0.22286105,2.1867666,0.76672286,1.1576939,1.0698631,2.2519383,2.3833969,2.6190486,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
2,one_hot,0.7,cp_ellipsoid_heatmap_cov,2,1.445426106452942,5.015247344970703,6.288074970245361,8.795559883117676,12.086480140686035,1.6908361911773682,2.733130931854248,2.4022867679595947,2.231602191925049,13.13845157623291,1.957721471786499,1.4499503374099731,10.013554573059082,47.131107330322266,4.438090801239014,2.4586265087127686,2.007620334625244,5.53640079498291,10.302279472351074,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.314737,0.2636716,2.3684094,1.3248758,2.0766265,1.2405025,1.2801257,0.45940822,0.645558,0.9718407,0.33088794,0.32706484,1.982117,3.6384168,0.6821083,0.269278,1.9599391,1.8891201,1.135932,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
3,one_hot,0.7,cp_ellipsoid_heatmap_cov,3,1.4259836673736572,4.508857250213623,4.599076747894287,6.919313430786133,7.552244663238525,2.4042420387268066,2.332233190536499,3.086195468902588,1.2693309783935547,7.178664684295654,1.3136624097824097,1.5018075704574585,5.238502025604248,2.8456568717956543,4.8147053718566895,2.55015230178833,2.8637330532073975,5.339296340942383,5.778182506561279,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.27956408,0.85580283,0.44901723,1.081317,0.68795866,0.53812677,1.2907754,0.21407457,0.6191359,1.459342,0.08205714,0.83871216,0.02315398,1.0816098,1.1117204,0.8833132,0.42170197,1.8913502,1.1215513,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
4,one_hot,0.7,cp_ellipsoid_heatmap_cov,4,1.779213786125183,3.6214511394500732,13.365550994873047,9.0486421585083,9.066267013549805,3.402367353439331,3.485201835632324,3.9155945777893066,3.145162582397461,17.96079444885254,2.4095523357391357,1.87025785446167,4.198136806488037,2.246480941772461,4.75073766708374,3.0832114219665527,5.305459022521973,15.113656997680664,4.4392781257629395,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.47291642,0.15650718,0.62653613,7.6359434,1.3066217,2.790823,1.9275029,1.5851659,1.4333283,3.946593,0.91912866,0.2692633,1.5681417,1.1102034,0.50875336,1.9005347,0.8394365,0.5866362,0.52997905,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
5,one_hot,0.7,cp_ellipsoid_heatmap_cov,5,2.072753667831421,2.663357973098755,9.375019073486328,4.651671886444092,7.037601470947266,3.50439190864563,2.04150390625,2.3465144634246826,1.9293872117996216,11.990644454956055,24.971357345581055,2.343184232711792,7.334237098693848,1.6724722385406494,3.6649577617645264,3.3577773571014404,3.3470232486724854,6.271044731140137,13.195656776428223,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.58215564,0.30919984,1.6433619,0.87312585,1.9018167,1.167583,2.0339448,1.6478531,0.3981781,2.1548,1.0570408,0.12838773,0.5336711,0.75474226,2.3464293,2.4518201,1.2312492,1.3888235,0.90214676,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
6,one_hot,0.7,cp_ellipsoid_heatmap_cov,6,874.5064697265625,3.164604425430298,58.72172546386719,17.646869659423828,8.953600883483887,11.254249572753906,12.899944305419922,1.9986661672592163,3.252495050430298,17.709157943725586,1.7539504766464233,3.448021411895752,6.230008602142334,20.04368782043457,4.64059591293335,3.832242965698242,17.530921936035156,8.00625991821289,36.8736572265625,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.063969,0.3899552,3.6792219,2.227157,0.6573458,5.112882,0.5067868,0.60321265,0.98751485,2.2211924,0.6776228,0.1364677,1.1296002,0.033127602,1.2527301,0.73572886,0.37863654,0.30536756,1.8710169,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
7,one_hot,0.7,cp_ellipsoid_heatmap_cov,7,1.2878047227859497,2.814138889312744,4.082607746124268,14.167291641235352,5.525920867919922,8.018402099609375,4.037765026092529,1.9484131336212158,2.434593439102173,12.761414527893066,5.785919666290283,1.6785800457000732,5.758407115936279,2.0063066482543945,4.067902565002441,3.111534357070923,3.1198959350585938,4.3475775718688965,18.2888240814209,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.45244446,2.9346135,0.50071466,1.2033226,0.43998176,1.3687363,1.3117867,0.58362746,0.5591177,2.101027,4.612058,0.91855454,2.1728983,0.99385464,0.34756184,1.8889592,0.9954406,0.079015024,3.2095158,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
8,one_hot,0.7,cp_ellipsoid_heatmap_cov,8,1.6907049417495728,2.368159770965576,5.5206122398376465,3.901411294937134,10.30447769165039,3.418656826019287,4.614367961883545,3.315258026123047,1.9102905988693237,11.721638679504395,6.255624294281006,2.2067277431488037,4.966052532196045,2.3220725059509277,9.113558769226074,2.804757833480835,3.463466167449951,6.474082946777344,7.0443806648254395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.40352693,1.1008335,0.93314147,0.35687992,1.3250389,0.9491612,1.027943,1.6018296,1.1869242,1.3473793,2.3814507,0.5448003,0.6838328,2.0600169,2.605196,0.29574794,0.9421186,0.9670007,0.4432825,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
9,one_hot,0.7,cp_ellipsoid_heatmap_cov,9,1.294604778289795,4.014450550079346,8.55717945098877,12.057839393615723,7.651938438415527,4.292661666870117,2.2068276405334473,2.116851568222046,1.8716751337051392,7.901850700378418,2.0727012157440186,1.7478251457214355,766.1537475585938,18.253665924072266,10.9290189743042,3.891028881072998,1.289833664894104,14.394018173217773,4.5904059410095215,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6787517,0.99860203,1.534798,0.36358926,0.8341898,0.097619906,0.5426662,0.4868646,0.47912005,1.6605175,1.2628797,0.40327075,1.7118047,0.4076556,0.60964644,0.8620867,0.4174425,4.859435,0.6749487,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
10,one_hot,0.7,cp_ellipsoid_heatmap_cov,10,1.5466501712799072,2.2448439598083496,6.941070556640625,15.677263259887695,17.082368850708008,6.058846950531006,2.360255479812622,12.406266212463379,3.0263748168945312,12.428634643554688,3.24538254737854,27.53842544555664,5.525203227996826,9.88192367553711,2.9286491870880127,2.9654672145843506,2.4308125972747803,12.77245807647705,4.684493064880371,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.59141994,0.17652673,3.716902,0.45557573,0.9411081,0.580096,0.782734,0.90112156,0.4119652,7.9605937,0.80911034,6.872868,0.5596332,0.78462,1.9439396,1.4637351,0.60954547,4.9095664,0.6411063,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
11,one_hot,0.7,cp_ellipsoid_heatmap_cov,11,1.6849161386489868,3.751291036605835,14.135457992553711,5.276919364929199,4.970442295074463,2.921204090118408,2.163374662399292,2.157982110977173,1.9317131042480469,6.673584461212158,2.68030047416687,1.0004398822784424,3.2367935180664062,2.55480694770813,3.1917104721069336,2.499788284301758,2.8341450691223145,9.21785831451416,7.786835670471191,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.92212814,2.8337672,2.6166341,1.8081253,0.68664694,1.0285529,0.70465297,0.60879487,0.76114404,2.434162,0.96059126,0.51047814,1.9653585,0.49374256,1.3046987,0.57804024,0.68889576,1.7730259,0.7314478,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
12,one_hot,0.7,cp_ellipsoid_heatmap_cov,12,1.8657219409942627,13.256269454956055,3.848963499069214,8.234440803527832,11.526591300964355,5.709940433502197,2.590442180633545,2.7834906578063965,3.2712786197662354,8.020727157592773,57.175384521484375,5.632198810577393,3.621676206588745,2.361687183380127,3.2191317081451416,3.547616720199585,2.1460161209106445,7.435486793518066,7.135631561279297,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5495772,0.25972036,0.27068087,1.3806217,0.97414166,3.7369847,0.6935144,0.2591441,0.83273715,6.9532504,7.166271,6.5732017,1.0201446,1.4254206,0.50980186,1.3314227,1.0721132,1.0052577,3.0783908,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
13,one_hot,0.7,cp_ellipsoid_heatmap_cov,13,2.568429946899414,2.388963460922241,3.8954365253448486,6.642639636993408,7.078888416290283,2.7513813972473145,5.521407604217529,2.4624853134155273,2.4580764770507812,90.97560119628906,3.8271286487579346,1.526665449142456,9.684551239013672,3.117501735687256,2.5302653312683105,2.774829864501953,1.9775233268737793,3.019663095474243,12.5048246383667,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.43740425,0.5973792,0.42518386,0.44683594,0.82524264,1.7517021,1.1347452,1.5619773,1.1909467,0.81715256,1.733341,0.664521,3.8904426,0.753033,0.56435585,1.4327589,0.9657865,1.2356932,0.545389,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
14,one_hot,0.7,cp_ellipsoid_heatmap_cov,14,4.03033447265625,2.1080803871154785,5.831115245819092,4.899155616760254,8.278768539428711,15.18411636352539,4.341711044311523,1.7833291292190552,2.4961092472076416,7.131347179412842,3.44136381149292,1.9702839851379395,3.7212772369384766,3.1470634937286377,5.2573981285095215,2.254964590072632,2.7469677925109863,4.987465858459473,4.575197219848633,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.40767798,0.8740211,0.9283989,0.8686298,0.62076056,1.8509468,2.4349108,0.5762921,1.0354409,1.1695176,0.4498672,0.28486267,0.293068,0.22552496,1.0924664,1.2184968,0.71773946,0.48640713,1.0463927,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
15,one_hot,0.7,cp_ellipsoid_heatmap_cov,15,1.852332353591919,3.5128374099731445,3.687472343444824,13.202730178833008,8.126830101013184,4.185129165649414,4.731326580047607,2.2090883255004883,2.290066719055176,9.502532005310059,2.412644386291504,1.7947498559951782,5.528082847595215,2.1016149520874023,2.850144863128662,4.888031959533691,3.1987855434417725,4.977370262145996,8.599384307861328,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.82116497,0.9560275,0.7392539,0.8408745,1.262006,0.38061473,1.0957527,0.07709102,0.24465989,2.0499628,0.568034,0.6543802,0.5535981,0.67290455,0.73109317,2.5954566,1.8126731,1.713096,1.0570602,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
16,one_hot,0.7,cp_ellipsoid_heatmap_cov,16,1.371959924697876,2.834498405456543,5.3929667472839355,7.605401515960693,4.910812854766846,13.199496269226074,3.375596761703491,2.3574864864349365,2.0044307708740234,18.901472091674805,2.396178960800171,1.0625816583633423,5.2850341796875,2.6646389961242676,2.6944708824157715,2.336081027984619,8.195449829101562,3.3858582973480225,6.4696044921875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.61811966,0.80329573,1.4700397,0.7635039,0.41458204,0.58135355,0.663903,0.8893559,0.2993542,3.200219,0.18069722,0.5725648,1.0479121,1.055617,0.54715896,0.81773883,2.2211444,0.7741827,0.7641633,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
17,one_hot,0.7,cp_ellipsoid_heatmap_cov,17,2.061150312423706,2.4174129962921143,3.2400505542755127,8.61580753326416,6.2048444747924805,3.2628679275512695,2.2380473613739014,1.9350299835205078,1.797004222869873,9.069347381591797,1.187865138053894,0.7623687386512756,7.120354652404785,3.756240129470825,3.1833043098449707,2.8037774562835693,3.400176763534546,8.54512882232666,4.820285320281982,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28226468,0.32987896,0.55973005,2.421556,0.6193151,1.2717144,0.7196875,0.6833863,0.40602982,0.9647553,0.12077545,0.32203823,1.8434418,0.57641524,0.591488,0.62188464,0.91108,1.5730444,1.0089561,local_soft_argmax,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
