,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,area_16,area_17,area_18,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,in_region_14,in_region_15,in_region_16,in_region_17,in_region_18,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,decoder_method,model_filename,pixel_based_sampling
0,one_hot_tta,0.7,cp_ellipsoid_heatmap_cov,0,1.6759371757507324,2.617428779602051,13.401458740234375,5.269372463226318,8.10244369506836,2.2744197845458984,2.092571258544922,6.5354461669921875,2.1699609756469727,10.558229446411133,3.055175542831421,0.9887799620628357,5.499067783355713,3.017777681350708,2.6231303215026855,6.876247882843018,4.751568794250488,3.8649954795837402,3.682321310043335,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.3896921,0.6607013,2.652837,0.6802009,0.6179199,0.86016226,0.2326631,1.1079308,0.9275269,0.30089673,0.73303854,0.8043463,0.9807476,0.75425094,1.1097716,0.64977026,1.036823,0.26862478,0.87149715,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
1,one_hot_tta,0.7,cp_ellipsoid_heatmap_cov,1,1.4568748474121094,2.967874526977539,5.077391624450684,4.727141380310059,7.295304775238037,2.7908806800842285,7.877908229827881,2.7620627880096436,1.8494187593460083,5.775455474853516,1.1539291143417358,0.7935436964035034,5.384670734405518,3.018460988998413,2.3580048084259033,2.0904860496520996,3.1023762226104736,5.073821067810059,6.9542341232299805,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8098776,0.5594322,0.59188217,0.8727558,1.1034652,0.6521858,0.67164904,1.6282642,0.7832414,2.6633282,1.32337,0.3185459,2.04943,0.690206,0.77652484,0.47919312,2.6394122,1.7053481,1.5339025,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
2,one_hot_tta,0.7,cp_ellipsoid_heatmap_cov,2,1.648744821548462,2.903559684753418,7.720070838928223,8.935419082641602,12.290192604064941,1.9107457399368286,3.8749947547912598,2.356297731399536,2.514272928237915,6.668163776397705,2.2186365127563477,1.57264244556427,12.108088493347168,28.94382667541504,2.6859405040740967,2.4516139030456543,2.1185269355773926,6.684078693389893,12.621757507324219,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.4759033,0.44732383,2.1461332,1.0521735,1.4636691,1.1669726,1.491037,0.4063263,0.9931776,1.2828232,0.5675416,0.7666519,2.096026,1.9405632,0.51042175,0.9119793,1.83911,1.3026801,1.410777,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
3,one_hot_tta,0.7,cp_ellipsoid_heatmap_cov,3,1.595699429512024,3.968416213989258,4.271371841430664,8.273294448852539,6.170820236206055,2.0755608081817627,2.152675151824951,2.495166301727295,1.7668554782867432,5.77219295501709,1.1261972188949585,1.0335156917572021,4.853148937225342,2.08681321144104,4.057004451751709,2.6357405185699463,3.004366159439087,5.7364501953125,5.684446811676025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.10470895,0.57123226,0.21669382,1.1532122,0.71838045,0.5361683,0.9968354,0.2604179,0.9086484,1.0589153,0.10833874,0.54647225,0.66914195,1.0565155,1.140063,0.6816065,0.7821069,2.10086,1.5118192,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
4,one_hot_tta,0.7,cp_ellipsoid_heatmap_cov,4,1.3325005769729614,2.5792813301086426,11.402546882629395,14.68903636932373,9.045760154724121,3.965785026550293,2.98986554145813,4.128761291503906,3.5492818355560303,17.387327194213867,1.796364188194275,1.1414815187454224,4.288528919219971,2.5617759227752686,4.390491008758545,3.0730342864990234,5.452088356018066,9.041192054748535,3.553718328475952,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55106735,0.35423613,1.0809714,7.216981,2.1905184,2.604711,1.2509017,1.131301,0.9112004,3.549714,0.7491916,0.26604083,1.2156141,0.7641424,0.13335292,1.4860318,0.7326538,1.8945726,0.6391451,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
5,one_hot_tta,0.7,cp_ellipsoid_heatmap_cov,5,1.5522905588150024,1.7388916015625,7.203063011169434,5.6393961906433105,7.274590015411377,2.716280221939087,2.2285759449005127,2.1364364624023438,1.862941026687622,7.799060344696045,98.37077331542969,1.4629853963851929,15.079927444458008,1.9109786748886108,2.855651378631592,2.414973258972168,2.437920093536377,4.4043378829956055,8.632986068725586,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.62091064,0.20231554,1.2402277,1.2703891,1.5712216,0.70310956,1.7392234,0.7386398,0.71156937,2.775952,5.359652,0.18777095,0.72122884,0.6857393,2.1469624,2.627177,0.96177584,1.74883,1.4144218,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
6,one_hot_tta,0.7,cp_ellipsoid_heatmap_cov,6,421.44061279296875,2.290330171585083,42.78054428100586,13.026090621948242,8.037948608398438,8.248497009277344,8.889254570007324,1.9762227535247803,2.970059633255005,15.63166332244873,1.1478592157363892,1.622510552406311,6.935882568359375,5.573576927185059,3.043013572692871,3.1309120655059814,16.68852424621582,8.347466468811035,20.263999938964844,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.2478843,0.12872902,2.8000016,2.1107538,0.16089755,4.8110743,0.38557827,0.6435288,0.62208825,4.8741703,0.8321382,0.17601126,1.2580644,0.17029984,1.0186744,0.8378245,0.15174918,0.5346622,0.53919184,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
7,one_hot_tta,0.7,cp_ellipsoid_heatmap_cov,7,1.3647091388702393,3.5021700859069824,4.086156845092773,13.07610034942627,5.712303638458252,6.425782203674316,4.098333358764648,2.319093704223633,2.6534922122955322,9.437211990356445,5.873810768127441,0.8932318687438965,6.133654594421387,2.1411025524139404,2.6064183712005615,2.7520127296447754,2.906994581222534,4.532290458679199,7.211050510406494,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.520074,2.263272,0.70586306,1.2226876,0.3995896,0.90384984,1.2851715,0.34342754,0.64339775,1.229119,4.055741,0.8818434,2.2353957,0.85784435,0.62052995,1.981825,1.22997,0.1598548,1.9642076,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
8,one_hot_tta,0.7,cp_ellipsoid_heatmap_cov,8,1.4331722259521484,2.3028228282928467,4.668610572814941,3.9669721126556396,10.240639686584473,3.403285264968872,3.0047805309295654,5.249745845794678,2.3793489933013916,9.297128677368164,3.9947352409362793,1.6657558679580688,4.4532151222229,2.261911153793335,4.640741348266602,2.260387420654297,2.3374860286712646,6.4901652336120605,5.550678253173828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.47153732,1.0449268,0.29532334,0.23810576,0.8103106,0.7297397,0.6411942,1.2621806,0.7006585,0.8943178,3.54683,0.6454708,0.117098965,2.2808118,1.0164518,0.059072085,0.6438785,1.0823946,0.15938084,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
9,one_hot_tta,0.7,cp_ellipsoid_heatmap_cov,9,1.388504981994629,2.7064924240112305,4.962016582489014,8.62037467956543,10.578154563903809,2.7047131061553955,1.9666426181793213,2.1467745304107666,2.1104021072387695,7.130226135253906,1.3520119190216064,1.365757942199707,188.80615234375,12.403660774230957,5.228067874908447,4.273097991943359,1.5945534706115723,9.01839828491211,3.459362268447876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5128762,0.45634,1.2260668,0.590043,0.9964253,0.27868626,0.59979457,0.16389032,0.54558414,1.812405,0.9951177,0.95125484,1.9506191,0.85654855,0.8844556,1.366318,0.6517306,3.71547,0.4711069,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
