,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,area_16,area_17,area_18,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,in_region_14,in_region_15,in_region_16,in_region_17,in_region_18,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,decoder_method,model_filename,pixel_based_sampling
0,one_hot,0.7,cp_ellipsoid_heatmap_cov,0,1.7133852243423462,2.9888899326324463,17.985675811767578,5.118343830108643,8.447846412658691,2.768054246902466,2.064293384552002,4.432636260986328,2.1648712158203125,12.64802360534668,2.8703763484954834,1.2102490663528442,5.177346229553223,2.6777596473693848,2.966157913208008,5.07895565032959,5.8840460777282715,5.05047607421875,3.6344223022460938,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.2364275,0.58892596,2.4624214,0.56063527,0.53898406,0.6105711,0.39460957,0.9538059,1.040796,0.1691724,0.559127,0.66260284,1.2560846,0.80938673,1.0473017,0.62918293,0.8973867,0.46495375,0.6498472,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
1,one_hot,0.7,cp_ellipsoid_heatmap_cov,1,1.4559370279312134,3.7459654808044434,4.736626625061035,5.393580436706543,7.542150974273682,3.9975087642669678,9.059962272644043,3.384636163711548,2.0986907482147217,6.27951717376709,1.3923466205596924,1.2471201419830322,5.446895599365234,4.298521041870117,2.5988028049468994,2.6495327949523926,2.6560001373291016,5.448534965515137,7.10390043258667,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.70014596,0.49082637,0.78683865,0.8697717,0.97721785,0.73960257,0.7825204,1.7593273,1.0722238,2.4266515,1.3405594,0.21370442,2.2253826,0.83207273,1.2324622,0.7162351,2.4386344,2.1112287,1.7362579,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
2,one_hot,0.7,cp_ellipsoid_heatmap_cov,2,1.5375843048095703,4.611874580383301,6.710348129272461,8.065873146057129,12.455883026123047,2.303121566772461,2.5866918563842773,2.0347580909729004,3.0093178749084473,10.607025146484375,2.166105270385742,1.4905445575714111,10.34695053100586,46.86278533935547,3.3659629821777344,2.848489761352539,1.9457018375396729,5.317176818847656,9.533361434936523,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.4711946,0.5646141,2.301879,1.5119327,1.5870515,1.1547799,1.4476888,0.29704154,0.845123,1.147921,0.4355237,0.41182116,2.4117908,2.8709557,0.34243026,0.4474246,1.8011562,1.5980912,1.0061151,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
3,one_hot,0.7,cp_ellipsoid_heatmap_cov,3,1.4976487159729004,4.936777591705322,5.219020843505859,7.333556175231934,8.010306358337402,2.5661325454711914,2.22381329536438,2.789611577987671,1.7401130199432373,5.58357048034668,1.4059865474700928,1.2017782926559448,5.221859931945801,2.7258198261260986,4.604401588439941,3.111751079559326,2.9420526027679443,5.339028835296631,5.575776100158691,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.33284137,0.42974404,0.32960352,1.2952299,0.56086427,0.58309305,1.1522418,0.4845883,0.7210037,1.1297174,0.08980107,0.6878476,0.12194379,0.85181725,1.1376209,1.0923151,0.49270183,2.3357759,1.2471473,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
4,one_hot,0.7,cp_ellipsoid_heatmap_cov,4,1.4790191650390625,3.3789703845977783,13.23038387298584,9.364879608154297,9.022279739379883,2.9842758178710938,3.260972738265991,3.9588847160339355,4.355898857116699,16.274681091308594,2.5033154487609863,1.545872688293457,3.9552879333496094,2.682004451751709,4.473836898803711,3.716557025909424,5.6125807762146,12.572026252746582,4.490776062011719,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.4447387,0.16442822,0.6598815,7.7210984,1.6404082,2.5613413,1.7848876,1.6409599,1.6406221,3.6737745,1.2364902,0.079135396,1.4057288,1.026146,0.27700806,1.5951076,1.0137264,1.7153939,0.6891348,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
5,one_hot,0.7,cp_ellipsoid_heatmap_cov,5,1.6164313554763794,2.23002552986145,10.00490951538086,5.301506519317627,8.051839828491211,3.42818284034729,2.3426740169525146,2.317795515060425,2.56858229637146,8.844986915588379,34.40372848510742,2.242506742477417,6.952040672302246,1.9173327684402466,3.4396347999572754,3.4826207160949707,3.172917366027832,6.669913291931152,9.363456726074219,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6998535,0.39788613,1.5763483,1.0828733,1.8700235,0.931117,1.8826994,1.0327553,0.56269324,2.0848494,2.1787214,0.14463735,0.55563784,0.75149494,2.3297825,2.315487,1.0802702,1.8207104,1.7456819,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
6,one_hot,0.7,cp_ellipsoid_heatmap_cov,6,842.5464477539062,3.367401123046875,67.80223083496094,18.006122589111328,10.181692123413086,13.801007270812988,12.364009857177734,1.7732295989990234,3.939037799835205,12.217966079711914,1.7432849407196045,3.2068991661071777,6.201076030731201,20.214570999145508,4.354238033294678,3.7246525287628174,17.446659088134766,8.691207885742188,25.227636337280273,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.993052,0.4181683,3.0357468,2.3904803,0.21681497,5.0346494,0.39769545,0.8819273,0.58951074,3.688585,0.76348966,0.10314207,0.86349356,0.53258014,1.103101,0.80128217,0.22605783,0.49185985,0.8652594,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
7,one_hot,0.7,cp_ellipsoid_heatmap_cov,7,1.1648342609405518,3.9844624996185303,4.322665214538574,14.711716651916504,6.740890026092529,8.703235626220703,3.843951463699341,1.9662843942642212,2.9009432792663574,11.427788734436035,5.759416580200195,1.5046110153198242,5.741746425628662,2.2412664890289307,3.5439536571502686,4.049247741699219,3.078197479248047,4.6374664306640625,14.149621963500977,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.48587418,3.0495145,0.53045946,0.84884256,0.65283906,1.4355274,1.288008,0.59689945,0.818175,1.4551618,4.1119347,0.8083484,2.1030028,1.2420079,0.9200549,2.122446,0.9989229,0.28896466,1.5954303,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
8,one_hot,0.7,cp_ellipsoid_heatmap_cov,8,1.4374171495437622,2.910545587539673,5.768214702606201,3.900050401687622,11.81181526184082,3.995420217514038,4.434286117553711,3.1326353549957275,2.631030559539795,10.230588912963867,5.836841583251953,2.152846097946167,4.327725887298584,2.065370559692383,7.102022647857666,2.841165065765381,2.7024543285369873,6.211262226104736,5.570527076721191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5168976,1.0206178,0.5076281,0.22023706,0.9656511,0.8212611,0.80883676,1.6796522,1.2092044,1.3114908,2.9747655,0.517446,0.39829737,1.9901489,1.7092731,0.43076023,0.610236,0.90444297,0.3947597,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
9,one_hot,0.7,cp_ellipsoid_heatmap_cov,9,1.3715848922729492,4.247985363006592,8.646839141845703,12.917267799377441,9.111211776733398,4.876798629760742,2.0644164085388184,1.746526837348938,2.283377170562744,7.346915245056152,2.0372612476348877,1.9937193393707275,660.6386108398438,18.543136596679688,10.942910194396973,5.009944915771484,1.495176076889038,12.6057767868042,3.787693738937378,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.66918117,0.35865235,1.3323967,0.6796248,0.9182409,0.042053293,0.42469928,0.31016645,0.45672742,1.4132491,1.2473395,0.65873295,6.7479277,1.2459688,1.0797223,1.0155911,0.59941983,3.967277,0.47049803,weighted_spatial_mean,ISBI2015_shr_unet_NLLLoss_val_fold2_test_fold3,True
