,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,area_16,area_17,area_18,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,in_region_14,in_region_15,in_region_16,in_region_17,in_region_18,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,decoder_method,model_filename,pixel_based_sampling
0,scn,0.7,cp_ellipsoid_heatmap_cov,0,2.768988847732544,4.777182579040527,7.945152759552002,6.235837936401367,9.380964279174805,6.816784381866455,3.4915997982025146,4.1496124267578125,4.070207118988037,31.258502960205078,4.84298849105835,1.1572037935256958,7.468618392944336,3.5642738342285156,4.39219331741333,5.7403669357299805,4.974391460418701,7.676443576812744,6.09977912902832,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.971485,0.24980664,4.7577558,0.32989147,1.0831447,0.9879221,0.28769824,0.9778926,0.45386085,0.5340768,0.61794126,0.5358965,0.43993288,0.47462264,1.1443763,3.1591992,1.141191,1.2604808,0.78175217,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
1,scn,0.7,cp_ellipsoid_heatmap_cov,1,1.9091732501983643,7.996400356292725,9.175238609313965,4.059924125671387,12.694486618041992,7.411795616149902,3.574022054672241,4.360343933105469,4.19384241104126,11.618965148925781,12.708314895629883,2.0990653038024902,14.47710132598877,9.235183715820312,14.817306518554688,9.308229446411133,2.633025884628296,17.802331924438477,5.044386386871338,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9557934,0.2977437,0.94843745,2.1123254,0.39157912,0.93147093,0.8215434,0.9117896,0.75970805,2.2924204,1.0975717,0.29537937,1.3095891,0.8406703,0.52752954,0.6732758,3.6003897,1.7040908,2.2204342,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
2,scn,0.7,cp_ellipsoid_heatmap_cov,2,2.0431535243988037,7.541601657867432,7.008584022521973,6.327083110809326,7.084200382232666,5.28008508682251,7.580760478973389,9.451231002807617,9.366415977478027,31.74106216430664,3.1132924556732178,0.7013311386108398,5.752896785736084,2.952773332595825,3.381615400314331,6.4180731773376465,3.506188154220581,8.702030181884766,10.502692222595215,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.1953043,0.6737382,2.9730217,0.29364136,1.1497624,1.8827274,2.4367728,0.24865627,1.2907726,0.9517004,0.29259512,0.46494612,2.9545834,1.3521118,0.47096148,0.3818501,1.807096,3.2914867,1.0994458,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
3,scn,0.7,cp_ellipsoid_heatmap_cov,3,2.261472463607788,5.798770904541016,7.473750114440918,5.039577484130859,11.167036056518555,6.83444356918335,3.824925422668457,3.942425489425659,4.527554988861084,22.917028427124023,4.550074577331543,2.170797109603882,11.769862174987793,6.5654096603393555,9.525541305541992,10.787182807922363,4.359951019287109,10.97278118133545,5.416738510131836,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9530626,2.6122482,0.34282523,0.9315525,0.65938914,0.8668517,0.19004403,0.70252186,0.63544136,0.6045451,0.39461207,0.3321105,0.78232384,0.9621252,0.6754129,1.2488216,0.1001971,3.9232678,2.8079798,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
4,scn,0.7,cp_ellipsoid_heatmap_cov,4,3.8943774700164795,3.1707911491394043,5.829407691955566,7.520949840545654,8.493463516235352,3.821627378463745,2.2951011657714844,1.3755228519439697,2.270914316177368,15.213494300842285,4.384088039398193,0.7490983605384827,3.7927725315093994,1.6994010210037231,1.421628713607788,4.093526840209961,4.087488174438477,4.559913635253906,10.800634384155273,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2874761,0.57847756,0.7491973,7.545372,0.40312204,1.6715404,1.7421573,0.17945902,0.77102983,3.375452,0.7780464,0.2927471,0.8409583,0.858296,0.88683,0.6195092,1.8103126,1.3867743,0.65261257,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
5,scn,0.7,cp_ellipsoid_heatmap_cov,5,2.57173490524292,4.859527111053467,6.985679626464844,7.115716934204102,10.3114652633667,5.262078285217285,1.750211477279663,1.3131458759307861,2.2454516887664795,22.794599533081055,6.009585380554199,1.3928078413009644,10.959712982177734,9.144495964050293,5.090480327606201,6.383159160614014,5.181040287017822,6.176527976989746,8.136377334594727,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.68250763,0.19062597,0.15105638,1.1319956,1.786004,0.3058393,1.2914909,0.7764123,0.029546725,1.9050179,0.7488422,0.27702945,0.6850491,0.7630906,1.9344335,2.2702198,0.78893965,0.88683915,1.5423644,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
6,scn,0.7,cp_ellipsoid_heatmap_cov,6,4.323055744171143,2.395562171936035,5.058387756347656,8.772086143493652,9.171768188476562,6.30864143371582,2.4522643089294434,2.1819095611572266,2.6708061695098877,43.638343811035156,3.2667737007141113,0.5965244770050049,6.211178779602051,5.030147552490234,3.315727949142456,6.466506004333496,4.018818378448486,3.6821353435516357,10.701242446899414,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.718638,0.42063493,0.73048574,1.5146532,0.6964781,2.187646,0.23050508,0.16159205,1.0298728,7.438599,0.15717226,0.30477208,0.966897,0.13250338,0.51534367,0.95620596,0.21424459,0.06401347,2.5441995,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
7,scn,0.7,cp_ellipsoid_heatmap_cov,7,2.666806697845459,3.7148678302764893,7.222133159637451,7.290011882781982,8.111747741699219,6.646928310394287,2.6585609912872314,2.4759304523468018,2.751328706741333,19.49589729309082,4.509952545166016,1.2138293981552124,4.8760552406311035,3.168287992477417,4.6817626953125,5.910901069641113,4.554111003875732,6.665888786315918,5.884483814239502,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9131585,2.401091,1.0067976,2.383015,0.13606696,0.52293617,0.2989414,0.42508444,0.95395535,1.1187252,2.2479973,0.37453014,2.3443508,1.0770912,0.6317809,2.3597019,1.9183574,0.22006229,1.9474291,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
8,scn,0.7,cp_ellipsoid_heatmap_cov,8,3.87088942527771,2.3404150009155273,4.497859001159668,8.410835266113281,10.192231178283691,4.909744739532471,2.4035093784332275,1.985832929611206,1.8638687133789062,17.15401268005371,1.7196760177612305,0.4884587228298187,2.577406406402588,1.5474556684494019,2.4190218448638916,5.990209102630615,2.794896125793457,3.3866989612579346,7.641701698303223,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5232871,0.23091845,0.45606762,0.20290215,0.32239142,1.5475367,1.0599611,1.5081905,1.1536007,1.5074209,2.952634,1.0037386,0.2580956,1.9173226,0.72295916,0.2711335,0.42871243,0.9231263,1.6235542,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
9,scn,0.7,cp_ellipsoid_heatmap_cov,9,2.662594795227051,5.194558143615723,6.772684097290039,7.032875061035156,16.658607482910156,7.0713677406311035,2.5871782302856445,2.8934643268585205,3.4311933517456055,30.70758819580078,5.68546724319458,1.8570995330810547,8.379454612731934,11.6896333694458,6.206313133239746,8.479021072387695,5.049497127532959,10.009709358215332,10.52099609375,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.1746597,1.0653713,0.7799973,0.7471692,0.70668024,0.66046876,1.288306,0.18615203,0.6545591,2.154359,0.22556746,0.73530346,0.39194298,0.09283968,0.8941288,1.9241819,0.5350318,4.410962,0.7848267,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
