,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,area_16,area_17,area_18,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,in_region_14,in_region_15,in_region_16,in_region_17,in_region_18,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,decoder_method,model_filename,pixel_based_sampling
0,scn_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,0,14.435661315917969,16.82994842529297,113.2162094116211,45.91807174682617,22.904043197631836,16.2613525390625,27.39995002746582,71.56902313232422,9.558364868164062,68.18708801269531,46.667232513427734,14.998494148254395,22.567535400390625,10.773185729980469,10.124067306518555,34.30216979980469,38.04716491699219,37.02920913696289,16.741830825805664,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96370864,0.29886222,4.6373253,0.27172166,0.9765701,1.0564982,0.22938572,1.1299103,0.5005781,0.6095777,0.6659844,0.5319437,0.47705358,0.46355823,1.1487479,3.018668,1.0730462,1.1783743,0.78709,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
1,scn_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,1,9.83348560333252,6.037990093231201,56.648433685302734,17.391050338745117,9.379256248474121,13.977615356445312,5.227941989898682,48.60086441040039,5.600241184234619,266.1402587890625,56.83356857299805,20.66983985900879,10.144489288330078,4.329430103302002,11.588483810424805,24.16140365600586,54.713382720947266,11.622512817382812,56.91099548339844,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94676185,0.31817657,0.93523014,2.105771,0.3810226,0.8005455,0.8053756,0.9192811,0.7335466,2.4160254,1.133819,0.33399698,1.3286859,0.81373435,0.55630004,0.63834083,3.1561904,1.7856127,2.1398864,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
2,scn_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,2,10.877848625183105,10.680435180664062,39.89784622192383,8.253753662109375,63.32047653198242,4.138190746307373,32.037532806396484,16.522626876831055,8.453890800476074,78.22490692138672,34.696266174316406,12.900731086730957,20.145463943481445,14.670236587524414,8.47126579284668,40.65191650390625,39.81096267700195,98.29475402832031,78.83910369873047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1895826,0.5830736,2.9902017,0.30500993,1.4329388,1.8775307,2.4661293,0.20396331,1.3293501,0.95310307,0.26788092,0.44620046,2.957529,1.4056103,0.53996557,0.45845953,1.9399952,3.403067,1.0573295,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
3,scn_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,3,10.389776229858398,26.364553451538086,23.75191307067871,24.099777221679688,15.311635971069336,7.0989837646484375,8.386136054992676,25.771093368530273,15.43265151977539,201.28834533691406,25.555309295654297,9.36579704284668,8.915379524230957,7.501230716705322,35.13054275512695,41.78070068359375,39.18431091308594,18.965320587158203,17.363943099975586,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8806601,2.9790936,0.4049776,0.84752184,0.6502313,1.0137014,0.20524463,0.73512477,0.6199738,0.5250605,0.31289506,0.35712403,0.8404017,0.95311266,0.80662763,0.71505135,0.07158105,3.8359182,2.8069959,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
4,scn_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,4,27.279146194458008,6.907881736755371,38.04734420776367,62.20869827270508,131.7225341796875,12.925593376159668,9.97836971282959,31.595972061157227,35.76866912841797,1320.364013671875,37.148170471191406,7.428083419799805,10.91057300567627,15.22930908203125,37.81796646118164,12.919330596923828,508.7077331542969,373.31256103515625,54.853721618652344,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33540803,0.5455754,0.66349703,7.463379,0.43684232,1.7076236,1.7189902,0.20874396,0.8651812,2.243516,0.8206216,0.26595205,0.8758514,0.8865199,0.86795914,0.9434845,0.8695917,1.6632898,0.50219005,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
5,scn_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,5,29.302520751953125,5.215417385101318,87.468994140625,89.6023941040039,86.49356842041016,15.769828796386719,20.81886863708496,15.300888061523438,14.506429672241211,22.16634750366211,28.655445098876953,82.28116607666016,22.350200653076172,6.950974941253662,41.284507751464844,14.363092422485352,9.831865310668945,15.577693939208984,79.36661529541016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7661793,0.18690154,0.118281014,1.1475195,1.3930173,0.3116774,1.1881608,0.7218243,0.047461167,1.9205657,0.65720224,0.40304676,0.6904844,0.7553569,1.9189775,2.2787757,0.801569,0.8835531,1.472222,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
6,scn_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,6,187.15072631835938,21.997756958007812,208.63803100585938,4.191967010498047,25.904541015625,16.825815200805664,54.30257797241211,23.390790939331055,18.565155029296875,1039.9549560546875,18.681299209594727,18.650400161743164,21.163028717041016,11.820209503173828,43.17403793334961,15.219322204589844,190.19761657714844,24.662004470825195,119.54181671142578,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4683535,0.3673251,0.70940965,1.5220078,0.71401465,2.2995906,0.25817516,0.10553106,0.7653551,5.78563,0.1739007,0.30109584,0.84435374,0.15454383,0.690414,1.0963281,0.20951155,0.12091613,2.435703,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
7,scn_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,7,4.948558330535889,5.847290515899658,29.5447940826416,152.79971313476562,8.783766746520996,60.99897384643555,9.973800659179688,23.03858757019043,6.575555801391602,72.0261459350586,62.05807113647461,11.119597434997559,13.900071144104004,4.127665996551514,14.542738914489746,4.826037406921387,51.29372024536133,15.854043960571289,10.747570991516113,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.9011229,2.407492,1.0461148,2.320983,0.108233646,0.54946756,0.15186736,0.45374697,0.9650832,1.1471581,2.1704218,0.3765229,2.364149,1.1180934,0.7384024,2.4009483,1.8906682,0.13648961,1.9234359,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
8,scn_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,8,11.011361122131348,3.3560452461242676,73.50597381591797,7.590870380401611,124.15985870361328,35.29370880126953,10.888301849365234,22.117979049682617,12.474570274353027,706.662109375,38.829158782958984,4.874151229858398,20.683799743652344,4.558215618133545,12.52016544342041,8.900123596191406,10.490062713623047,43.181190490722656,94.32073974609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5292774,0.2629573,0.520554,0.20102935,0.30460992,1.6762525,0.9474254,1.4785333,1.0723901,1.6388171,2.9808643,1.0159067,0.25352338,1.9152317,0.7550485,0.22693828,0.4014862,0.8370404,1.5439575,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
9,scn_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,9,17.336484909057617,15.348952293395996,43.77763748168945,12.081014633178711,16.08816146850586,70.79618835449219,12.72536849975586,32.56212615966797,6.858155727386475,35.09537887573242,37.11037826538086,5.826540470123291,3.701603889465332,11.802587509155273,19.04371452331543,18.9693603515625,3.2161147594451904,108.58952331542969,19.683990478515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1328353,1.1151972,0.7613743,0.79949605,0.6650426,0.4873002,1.2823312,0.10917759,0.69038033,2.0781684,0.26132914,0.72714144,0.36441344,0.029403785,0.922015,1.8151022,0.5717678,3.841474,0.7993162,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
