,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,area_16,area_17,area_18,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,in_region_14,in_region_15,in_region_16,in_region_17,in_region_18,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,decoder_method,model_filename,pixel_based_sampling
0,scn_mc,0.7,cp_ellipsoid_heatmap_cov,0,2.537346124649048,4.241937160491943,6.819786071777344,5.51171350479126,10.774683952331543,6.449396133422852,3.5942537784576416,3.5891990661621094,4.00529146194458,33.13951110839844,4.989134788513184,1.1329765319824219,7.727298736572266,3.99609112739563,4.11226224899292,4.462502479553223,5.466599464416504,7.394091606140137,5.986898899078369,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9849916,0.23346132,4.7532063,0.3329224,1.0548915,1.0201324,0.38780168,1.0697627,0.4969882,0.5400705,0.5920173,0.5316483,0.5267631,0.46288586,1.1084627,3.1508772,1.0930513,1.0134238,0.76579094,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
1,scn_mc,0.7,cp_ellipsoid_heatmap_cov,1,1.7027288675308228,7.445176124572754,8.133590698242188,3.9266395568847656,13.988517761230469,7.164050579071045,3.8703179359436035,3.6027090549468994,4.307341575622559,12.64135456085205,12.264389038085938,2.1033544540405273,16.093908309936523,10.187874794006348,14.005721092224121,7.181074142456055,2.9002339839935303,18.033918380737305,5.504174709320068,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.95944524,0.30018285,0.89398235,2.0998356,0.4276091,0.92254245,0.80920607,0.9382796,0.7393508,1.9768629,1.1536282,0.3160208,1.2444475,0.8230623,0.55105853,0.6899719,3.600304,1.8995063,1.9188684,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
2,scn_mc,0.7,cp_ellipsoid_heatmap_cov,2,1.7698513269424438,6.937651634216309,6.282905101776123,6.237947940826416,6.935946941375732,5.175333023071289,7.742151737213135,7.647889137268066,8.650816917419434,33.685298919677734,2.9745264053344727,0.6311562657356262,6.159010410308838,3.1941959857940674,2.944051742553711,5.218549728393555,3.7625112533569336,7.992642402648926,10.709076881408691,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.2192253,0.7021301,3.0197434,0.31036606,1.188601,1.8584425,2.4275928,0.23519112,1.2730842,0.92324394,0.2982238,0.44841325,2.9808736,1.3624718,0.55248106,0.3893044,1.8032622,3.3657548,1.079324,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
3,scn_mc,0.7,cp_ellipsoid_heatmap_cov,3,2.0223536491394043,5.351255893707275,6.893747329711914,4.741411209106445,11.398476600646973,6.357262134552002,3.866962432861328,3.0413007736206055,4.092090606689453,26.100109100341797,4.179792881011963,2.237894058227539,12.372291564941406,6.641157150268555,7.781131267547607,7.98766565322876,4.3594818115234375,9.687408447265625,5.4636149406433105,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.90433306,3.028256,0.36520046,0.73668003,0.6453119,1.0630525,0.19267513,0.6827642,0.64102316,0.72337073,0.33908123,0.3226501,0.8548317,0.920361,0.8860709,1.2651404,0.15392302,3.8826697,2.8181393,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
4,scn_mc,0.7,cp_ellipsoid_heatmap_cov,4,3.5799362659454346,2.8250367641448975,4.985193729400635,7.449175834655762,9.32454776763916,3.74221134185791,2.421520233154297,1.1452308893203735,1.9650942087173462,17.260717391967773,4.090299606323242,0.6936758160591125,4.233986854553223,1.7764865159988403,1.3328012228012085,3.096759080886841,4.307744979858398,4.487298011779785,10.165426254272461,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2944344,0.57005304,0.7263098,7.54421,0.47035888,1.6414186,1.7465947,0.1727873,0.8335114,3.357842,0.83340514,0.27357888,0.85811657,0.82075685,0.93101376,0.9599925,1.7420586,1.3748295,0.6411764,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
5,scn_mc,0.7,cp_ellipsoid_heatmap_cov,5,2.421443462371826,4.442349910736084,6.5218915939331055,6.6514201164245605,10.837196350097656,5.149044990539551,1.8801488876342773,1.1270675659179688,2.2329084873199463,24.645374298095703,5.208896636962891,1.463210105895996,11.40664291381836,9.616909980773926,4.513546466827393,4.6131110191345215,5.6573662757873535,5.613165378570557,8.304920196533203,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7336007,0.27703342,0.13993923,1.1144991,1.7630466,0.38217515,1.2122055,0.7162272,0.04892523,1.8999554,0.76213515,0.27312946,0.68594104,0.7291291,1.8440722,2.295201,0.84126586,0.735315,1.4883826,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
6,scn_mc,0.7,cp_ellipsoid_heatmap_cov,6,3.9900240898132324,2.1335031986236572,4.40439510345459,8.301721572875977,9.912882804870605,6.519245624542236,2.9178428649902344,1.795853614807129,2.586611032485962,44.1475830078125,3.081822395324707,0.5785579681396484,6.449367046356201,5.513844013214111,2.939242362976074,5.345197677612305,4.322698593139648,3.4940338134765625,10.715264320373535,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.726257,0.3376983,0.52173704,1.5420436,0.6992926,2.1476982,0.22560133,0.09987828,1.0056496,7.412386,0.14045033,0.38896528,0.96645623,0.10061332,0.5772355,0.92877877,0.23688954,0.02570894,2.3408833,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
7,scn_mc,0.7,cp_ellipsoid_heatmap_cov,7,2.4419643878936768,3.4664151668548584,6.70921516418457,6.893629550933838,8.22421932220459,6.1967902183532715,2.812584638595581,1.9922847747802734,2.6819379329681396,19.857894897460938,4.054893493652344,1.2307075262069702,5.031815528869629,3.1368632316589355,3.8022055625915527,4.889989852905273,5.153724670410156,6.522005081176758,6.1659016609191895,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.89863884,2.4455948,1.0522114,2.4279125,0.114492804,0.50549906,0.2357647,0.47437927,0.952306,1.1474081,2.2427845,0.35516295,2.3471148,1.1112902,0.7347924,2.4178991,1.8747259,0.21523751,1.940217,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
8,scn_mc,0.7,cp_ellipsoid_heatmap_cov,8,3.4105899333953857,1.970229983329773,3.872213363647461,7.588165760040283,10.102496147155762,4.844459056854248,2.4981062412261963,1.5954071283340454,1.7455557584762573,18.481332778930664,1.7011421918869019,0.4605502784252167,2.7872231006622314,1.640544056892395,2.197584390640259,4.545658111572266,3.112095832824707,3.076327323913574,7.943208694458008,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5237639,0.2477763,0.4600953,0.23452587,0.33151743,1.5383466,1.0114675,1.5232809,1.1011305,1.4937705,2.9601154,0.99974036,0.26648104,1.92479,0.74432486,0.288075,0.3943451,0.9250296,1.5849286,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
9,scn_mc,0.7,cp_ellipsoid_heatmap_cov,9,2.3145530223846436,4.589912414550781,5.962730407714844,6.758834362030029,17.250591278076172,6.569430351257324,2.759477138519287,2.321850061416626,3.087390422821045,32.754234313964844,5.208086013793945,1.8103145360946655,8.680760383605957,11.848348617553711,5.216884136199951,6.555839538574219,5.40041446685791,8.821903228759766,10.670948028564453,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.1354609,1.0816922,0.82479686,0.79303116,0.6919744,0.6481608,1.3536762,0.11449424,0.7078241,2.113733,0.23723012,0.7397862,0.37865606,0.058593053,0.9364142,1.9351627,0.6149954,3.9886744,0.7761779,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
