,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,area_16,area_17,area_18,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,in_region_14,in_region_15,in_region_16,in_region_17,in_region_18,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,decoder_method,model_filename,pixel_based_sampling
0,scn_mc_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,0,9.364082336425781,30.19749641418457,36.17219543457031,30.772396087646484,13.517215728759766,10.085721969604492,6.836915016174316,8.027379989624023,4.651386260986328,46.505897521972656,10.660845756530762,2.7134337425231934,8.343023300170898,5.16170597076416,11.141081809997559,10.010961532592773,18.539764404296875,24.709245681762695,33.43796157836914,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88709426,0.55662864,4.753253,0.5262817,0.84980094,1.1957589,0.20894596,1.2958579,0.66228765,0.44953337,0.817851,0.521491,0.40677023,0.3825349,0.831482,2.4193962,0.7268729,1.1585964,0.6817335,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
1,scn_mc_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,1,4.86123514175415,16.273229598999023,46.347896575927734,14.553860664367676,17.54621124267578,8.816743850708008,6.408661842346191,4.146622180938721,4.078786373138428,79.55317687988281,10.298274040222168,3.7320396900177,10.599624633789062,4.713042736053467,15.157240867614746,3.6440422534942627,27.989383697509766,15.563000679016113,29.843027114868164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8542491,0.4888906,0.7909716,1.7962195,0.46680033,0.6740563,0.8979208,1.2272887,0.7860635,2.8864784,1.1016392,0.19332264,0.98552924,1.0323048,0.44151178,0.97832215,3.233679,1.5880661,2.1895545,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
2,scn_mc_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,2,4.609920024871826,32.063297271728516,33.55980682373047,161.8941192626953,15.132804870605469,10.649645805358887,7.824657917022705,3.3211684226989746,4.10756778717041,48.04877853393555,8.390457153320312,6.037445545196533,7.28033971786499,20.5830020904541,8.639945030212402,8.51015567779541,14.339800834655762,41.20764923095703,142.4097442626953,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.325728,0.4082258,2.952623,1.4772722,0.9236508,1.2394118,2.2180574,0.08357216,1.0746769,1.9024401,0.32707217,0.56242293,2.1218088,1.5349642,0.4652542,0.39828053,1.7808099,2.641334,0.70187765,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
3,scn_mc_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,3,10.04877758026123,48.2629508972168,40.5960807800293,8.651320457458496,26.150718688964844,15.668210983276367,7.323530673980713,13.55754280090332,4.607979774475098,31.157215118408203,10.565747261047363,4.6395955085754395,24.812318801879883,8.670756340026855,16.1560001373291,14.949329376220703,73.47476196289062,60.344486236572266,60.403968811035156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8312507,1.116547,0.40969753,0.6669748,0.5185561,0.52459365,0.63927144,0.17315185,0.55334496,0.9299037,0.364811,0.27797827,1.3549049,1.1400315,0.77088445,0.36116275,0.5499079,3.066145,2.224044,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
4,scn_mc_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,4,5.410354137420654,33.832576751708984,200.1103057861328,43.10673904418945,65.16999053955078,18.73829460144043,14.404792785644531,9.09249210357666,7.343686103820801,68.45133209228516,77.54954528808594,2.8307409286499023,10.451364517211914,9.581631660461426,11.436923027038574,15.304234504699707,64.83853912353516,152.8168487548828,50.9306640625,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.54279536,0.45094877,0.6586403,7.5809474,0.65916735,1.9741001,1.5986621,0.15824138,0.7266069,2.0660868,0.91859555,0.35150155,0.8897015,0.87280476,0.91866267,0.086864375,0.3436435,2.759232,0.2670131,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
5,scn_mc_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,5,6.248416423797607,24.885475158691406,58.33392333984375,21.30976676940918,20.007617950439453,8.940661430358887,6.289298057556152,5.26387882232666,3.3794050216674805,42.41169738769531,23.87148666381836,6.394378185272217,11.986682891845703,5.721410751342773,6.476231098175049,9.063867568969727,12.306146621704102,14.491703033447266,102.36819458007812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.84291,0.3609092,0.45582348,0.97233754,1.5852698,0.661542,0.8450144,0.93467534,0.23892994,3.864596,0.5456969,0.2831123,0.7808162,0.9580965,1.8352692,2.839309,0.81481016,0.866719,1.0280826,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
6,scn_mc_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,6,57.6838493347168,18.62915802001953,656.087890625,50.520545959472656,34.89836502075195,17.546499252319336,300.8757629394531,268.9783935546875,6.131472110748291,81.5568618774414,8.662554740905762,3.831068515777588,12.453207969665527,4.429807186126709,14.016990661621094,105.63887023925781,24.25505828857422,51.83032989501953,204.6269073486328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3469495,0.5052379,1.1532173,2.076719,1.141574,2.2807493,1.5259027,0.98740995,0.4499647,2.7634866,0.42888644,0.28870633,1.1956356,0.08888896,0.8919393,0.961453,0.6358916,0.6210814,2.0617397,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
7,scn_mc_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,7,6.954293727874756,36.47401428222656,16.544204711914062,27.497106552124023,12.15410041809082,20.121065139770508,9.878669738769531,6.290344715118408,4.0900959968566895,60.25445556640625,32.17388916015625,4.428452014923096,11.201555252075195,4.708492279052734,6.59627103805542,7.276862621307373,21.693603515625,13.603116035461426,34.04357147216797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7490791,2.742012,1.1648893,2.3536704,0.27491805,0.5543357,0.14484696,0.38207754,0.81290483,1.3403639,2.1877866,0.4371562,1.9415013,0.9248433,0.6838696,2.199806,1.9920628,0.023473816,1.9791166,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
8,scn_mc_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,8,7.339295864105225,25.77031135559082,53.60390090942383,10.778003692626953,35.59747314453125,27.947473526000977,19.517391204833984,12.899880409240723,5.682273864746094,195.16978454589844,42.684207916259766,4.5730719566345215,13.13820743560791,9.89411449432373,14.459338188171387,14.563678741455078,14.089967727661133,27.24949836730957,32.06386947631836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6366,0.61246794,0.5605114,0.20512713,0.49939126,1.9641317,0.3638534,1.1680797,0.8998758,0.88589257,2.2612176,0.77651787,0.09590693,2.100887,1.1008248,0.7780015,0.40531498,1.0705103,1.4334764,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
9,scn_mc_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,9,6.035642147064209,44.7514533996582,20.78057098388672,24.234453201293945,14.442214965820312,17.88445472717285,6.59410285949707,7.808804512023926,4.975101947784424,29.76621437072754,9.58907413482666,3.255715847015381,9.547516822814941,6.878940105438232,8.124861717224121,7.7581987380981445,11.946035385131836,61.425331115722656,21.307117462158203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9348568,0.9840054,0.70686626,1.0774122,0.74481446,0.5809956,0.6116465,0.2690131,0.6811013,1.5587931,0.2539392,0.7229114,0.30626136,0.20563614,0.5773968,1.0230031,0.65523326,3.9546247,0.7941596,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
