,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,area_16,area_17,area_18,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,in_region_14,in_region_15,in_region_16,in_region_17,in_region_18,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,decoder_method,model_filename,pixel_based_sampling
0,scn_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,0,6.829255104064941,31.90867042541504,72.7098617553711,54.602630615234375,14.513208389282227,16.786720275878906,16.882221221923828,10.57042407989502,10.423421859741211,36.91676712036133,32.39450454711914,2.8124706745147705,13.480320930480957,4.738681316375732,21.50374412536621,20.36833953857422,13.07184886932373,29.51628303527832,25.226760864257812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.80238116,0.3870198,4.6872625,0.3256324,0.81718534,1.0132476,0.31519562,1.0713938,0.69926906,0.69461244,0.9728888,0.45357955,0.28226396,0.3234033,0.728113,2.180378,1.1359711,0.8871498,0.4966809,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
1,scn_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,1,3.5328967571258545,12.965330123901367,50.29032897949219,29.630308151245117,34.772071838378906,10.29143238067627,11.121224403381348,7.03416109085083,7.49689245223999,88.13590240478516,12.652938842773438,4.443689823150635,12.304586410522461,4.722475528717041,15.638521194458008,5.47127628326416,31.5167293548584,11.300594329833984,18.101932525634766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8618088,0.5237805,0.76998967,1.8965923,0.4450517,0.8015315,0.77233744,1.0558242,0.8179497,3.1026542,0.9866929,0.33023837,0.86655354,0.846481,0.3166758,0.8526499,3.2542264,1.5380677,2.1940951,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
2,scn_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,2,9.151514053344727,34.71187210083008,20.874561309814453,62.97591018676758,26.133535385131836,14.106732368469238,23.273542404174805,6.439858913421631,13.033099174499512,84.87618255615234,23.134069442749023,8.777548789978027,13.810409545898438,27.118865966796875,19.286643981933594,11.088968276977539,15.949676513671875,43.27117919921875,79.02769470214844,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3257456,0.29719368,2.9274304,0.47634092,0.62509876,1.205183,2.0354326,0.09874822,1.4292682,1.7702142,0.33137456,0.47928208,2.2508209,1.7870613,0.50699544,0.48439828,1.6848375,2.4916036,0.73080003,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
3,scn_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,3,7.099074363708496,19.721426010131836,25.92963218688965,18.829227447509766,20.847980499267578,13.904947280883789,10.355085372924805,19.30766487121582,5.17852258682251,60.32254409790039,16.26644515991211,3.718156337738037,11.931766510009766,6.472431182861328,25.781150817871094,15.950156211853027,25.28607940673828,22.249292373657227,29.972537994384766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8279437,1.0209804,0.40510118,0.7007165,0.7196827,0.47976676,0.48984256,0.35110614,0.45190164,1.0786589,0.28453958,0.31469563,0.8513682,1.036068,0.5869679,0.32606813,0.39651373,3.7467158,2.5221307,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
4,scn_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,4,5.737492084503174,22.692907333374023,210.3738250732422,47.060203552246094,67.7676773071289,30.694576263427734,36.135738372802734,12.78720760345459,16.395933151245117,61.16879653930664,26.296003341674805,4.001882076263428,18.87693977355957,7.8755574226379395,8.244732856750488,15.327596664428711,50.091392517089844,179.64163208007812,43.57851028442383,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6053154,0.55938697,1.0956792,7.724718,1.0075514,2.27379,0.90604824,0.2884107,0.59127676,2.3556578,0.6022291,0.39449784,0.7410399,0.8507856,0.96814066,0.26249507,0.42609376,3.170078,0.25898263,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
5,scn_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,5,7.769047260284424,20.733959197998047,53.707096099853516,30.391157150268555,22.036890029907227,13.979753494262695,15.07330322265625,8.410262107849121,9.970515251159668,110.02127838134766,54.503238677978516,4.436193466186523,10.98569107055664,2.976285696029663,14.369318008422852,10.726720809936523,17.8342342376709,12.154839515686035,72.40081024169922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7439675,0.30349773,0.41133747,1.0850862,1.2885576,0.6696945,1.0154951,0.927325,0.26210985,3.387332,0.90338993,0.2934446,0.8789006,0.8981104,1.6870759,2.654707,0.8659987,0.84119785,1.4107233,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
6,scn_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,6,252.1143035888672,17.688541412353516,230.3666534423828,70.91209411621094,32.35176467895508,16.54991912841797,15.031362533569336,7.881080627441406,7.886202812194824,190.98492431640625,10.363746643066406,2.9325594902038574,5.699450492858887,5.342952251434326,13.588890075683594,4.989487171173096,21.1558837890625,25.312328338623047,48.232391357421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2393694,0.51170915,1.1402884,2.089292,1.2763399,2.1298928,0.25600308,0.17000991,0.5738147,3.3851547,0.32646158,0.29599223,1.1666249,0.18346232,0.81820416,1.7681834,0.5512683,0.13708833,2.452493,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
7,scn_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,7,6.306943416595459,15.661911010742188,18.615846633911133,38.450294494628906,15.903045654296875,34.339630126953125,15.698603630065918,10.48702335357666,7.665783882141113,95.1735610961914,45.75266647338867,3.626723527908325,11.538190841674805,5.10352087020874,9.102316856384277,8.041728973388672,34.90666580200195,12.318665504455566,31.019451141357422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7403315,3.0090895,1.0699513,2.4632206,0.35287625,0.5142342,0.24620841,0.29274264,0.6853694,1.6905336,1.8814268,0.46911195,1.8422933,0.7895701,0.62744033,2.298928,2.2519307,0.15433909,1.7938718,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
8,scn_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,8,7.922640323638916,23.33019256591797,38.44627380371094,14.286534309387207,41.5613899230957,15.655532836914062,22.69904327392578,14.376716613769531,12.699000358581543,196.22174072265625,89.48017883300781,2.9083361625671387,15.236854553222656,9.40218448638916,16.851335525512695,16.3297176361084,17.68242645263672,16.474157333374023,29.147672653198242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.55278057,0.6162985,0.551356,0.21309732,0.49605292,2.2091632,0.33934054,1.1179184,0.74678683,0.576214,2.1168296,0.6562378,0.14971222,2.1549277,1.187298,0.61053073,0.41172194,1.0205281,1.5471312,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
9,scn_tta_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,9,7.4266533851623535,35.02085876464844,22.455001831054688,33.24021530151367,19.698598861694336,22.972429275512695,15.306583404541016,13.717574119567871,7.784259796142578,53.78230285644531,13.39759635925293,2.3417136669158936,9.569796562194824,5.419841289520264,14.483489036560059,8.254796981811523,11.69216537475586,67.96966552734375,15.820755004882812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9485953,1.1046774,0.66738033,0.9896222,0.7383938,0.70590675,0.82863593,0.22713643,0.64786106,2.1639125,0.2257282,0.7193736,0.5266081,0.18543659,0.64485383,1.0093609,0.5746726,3.509248,0.7091756,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,False
