,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,area_14,area_15,area_16,area_17,area_18,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,in_region_14,in_region_15,in_region_16,in_region_17,in_region_18,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,error_14,error_15,error_16,error_17,error_18,decoder_method,model_filename,pixel_based_sampling
0,scn_tta,0.7,cp_ellipsoid_heatmap_cov,0,2.013334274291992,4.782406806945801,7.050098896026611,4.428022861480713,10.826237678527832,5.389675617218018,3.6098062992095947,3.6038658618927,2.709535837173462,22.77617645263672,4.079453468322754,1.2870092391967773,7.506648063659668,3.1629045009613037,3.5740132331848145,3.335747241973877,4.3283915519714355,8.4945068359375,4.777914047241211,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8141467,0.44694948,4.944497,0.3953305,1.0090598,1.0169669,0.28899792,0.98752666,0.41753453,0.5840845,0.9460133,0.4968061,0.22580819,0.2954558,0.8580488,2.491809,1.0751145,1.1356776,0.6031169,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
1,scn_tta,0.7,cp_ellipsoid_heatmap_cov,1,1.163435459136963,7.883399963378906,8.103344917297363,2.640807628631592,12.4655179977417,6.207002639770508,3.704651355743408,4.289393901824951,2.68833589553833,9.160247802734375,11.359524726867676,2.5642707347869873,14.638980865478516,10.12743854522705,12.267181396484375,7.31805419921875,2.26664400100708,18.944461822509766,3.379892349243164,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.8584019,0.43574756,0.87413335,1.950829,0.46799356,0.64672214,0.78870285,1.2176392,0.9292676,3.163439,1.0503979,0.2903403,1.0123923,0.9212636,0.25755233,0.7399135,3.2998245,1.4494631,1.9124436,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
2,scn_tta,0.7,cp_ellipsoid_heatmap_cov,2,1.5669519901275635,8.312128067016602,6.641581058502197,4.676464080810547,7.332908630371094,4.258535385131836,8.836265563964844,9.083637237548828,7.070155620574951,26.59592056274414,2.724104166030884,0.7938975095748901,5.561299800872803,3.58782958984375,2.999696731567383,6.416347980499268,3.4873077869415283,8.682838439941406,8.789731979370117,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.3683337,0.25852993,2.8885317,0.3922741,0.8759973,0.8522261,2.3263323,0.0672056,1.3959056,1.3740416,0.30510885,0.5184523,2.1498492,1.6486725,0.46372452,0.46689653,1.6717571,2.3473878,0.6692732,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
3,scn_tta,0.7,cp_ellipsoid_heatmap_cov,3,1.5773102045059204,5.7361040115356445,7.148983001708984,3.961028814315796,12.047779083251953,5.532596111297607,4.360430717468262,3.82893705368042,3.016068458557129,17.136011123657227,4.079660415649414,2.608510732650757,10.289896011352539,6.249125957489014,7.789628028869629,8.42297077178955,3.6886494159698486,12.496699333190918,4.607317924499512,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.80860573,1.1261065,0.3775724,0.67448336,0.68608093,0.4313502,0.5820207,0.48115623,0.5293829,1.287136,0.30359605,0.37021884,0.8978731,1.0439831,0.5956271,0.20789851,0.36733207,4.1253004,2.6644638,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
4,scn_tta,0.7,cp_ellipsoid_heatmap_cov,4,2.7747154235839844,3.113814353942871,5.152480602264404,8.106490135192871,9.45852279663086,2.7361302375793457,2.4965109825134277,2.472862958908081,2.170363664627075,12.776689529418945,3.4995713233947754,0.9053195714950562,4.524832725524902,1.6667958498001099,1.552333950996399,2.844708204269409,3.910698652267456,5.090135097503662,8.924967765808105,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.60111475,0.6595641,0.7637963,7.5669665,0.3016833,1.9944109,1.2682164,0.1313551,0.7623597,2.4129105,0.6530043,0.3590742,0.89382595,0.79950416,0.9048695,0.10718059,0.27804145,1.7617445,0.36162907,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
5,scn_tta,0.7,cp_ellipsoid_heatmap_cov,5,1.9908289909362793,4.832603931427002,6.38913631439209,6.577473163604736,10.591926574707031,4.998682022094727,2.224170207977295,2.314943552017212,2.630455493927002,13.687216758728027,4.256612777709961,1.595776915550232,9.598278045654297,9.704645156860352,4.881025314331055,5.8845367431640625,4.387575149536133,6.8976311683654785,8.126980781555176,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.78137904,0.37152418,0.5403013,1.0721586,1.4918215,0.7918682,1.0148678,1.0109563,0.2805666,4.2175794,0.57717526,0.22574465,0.75290644,1.0147368,1.7497671,2.8150551,0.8121918,0.86517596,1.3688742,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
6,scn_tta,0.7,cp_ellipsoid_heatmap_cov,6,3.491446018218994,2.6275265216827393,5.481700897216797,8.174356460571289,10.798239707946777,6.397897720336914,3.2487123012542725,2.11869478225708,1.9953386783599854,24.050907135009766,2.9421627521514893,0.7347128391265869,5.9220051765441895,5.359753608703613,2.825749158859253,7.3449225425720215,3.8390700817108154,3.9672350883483887,9.03506851196289,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.967247,0.85082513,0.7861311,1.7875159,1.335844,2.191869,0.34940898,0.31165943,0.5109702,2.9862027,0.42754862,0.41202554,1.1614548,0.01338081,0.97585595,1.9266826,0.6509729,0.58945435,2.4925356,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
7,scn_tta,0.7,cp_ellipsoid_heatmap_cov,7,1.900989294052124,4.100634574890137,6.427148342132568,6.1765289306640625,8.077348709106445,5.969494819641113,2.935417413711548,2.0262367725372314,2.0029282569885254,12.546656608581543,4.000929355621338,1.4485026597976685,4.618795394897461,2.790024757385254,3.5466554164886475,4.434621810913086,3.905543565750122,6.509949684143066,4.448371887207031,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.74626714,3.0146341,1.157105,2.445379,0.16891451,0.338593,0.21924134,0.29400977,0.7651264,1.6773223,1.9767728,0.51305544,1.948888,0.7206292,0.6062076,2.0097954,2.0068078,0.14437348,1.6926904,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
8,scn_tta,0.7,cp_ellipsoid_heatmap_cov,8,3.14619517326355,2.4493727684020996,3.7370645999908447,6.683194160461426,9.916304588317871,4.142667770385742,2.743028402328491,2.3355050086975098,2.4043991565704346,12.627828598022461,1.3391051292419434,0.5354952812194824,2.031658887863159,1.4668853282928467,1.8058890104293823,4.473615646362305,2.5110952854156494,4.2386674880981445,5.485535144805908,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.6456337,0.61960316,0.5507399,0.29493985,0.5405065,1.9319046,0.6553835,1.0999677,0.7153254,0.86056936,2.3426254,0.7091347,0.18540324,2.1918619,1.0861474,0.7618125,0.44863662,1.0813658,1.5216858,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
9,scn_tta,0.7,cp_ellipsoid_heatmap_cov,9,1.951920747756958,4.874445915222168,6.597463607788086,5.687417984008789,15.107297897338867,5.704548358917236,3.1103453636169434,2.9751486778259277,2.8674044609069824,21.431739807128906,4.337030410766602,2.3187620639801025,9.31637191772461,12.367737770080566,5.317968368530273,6.32195520401001,4.412961006164551,9.927912712097168,7.274824619293213,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9377241,0.9357752,0.6049447,1.0370752,0.81056523,0.6278989,0.7319631,0.1837828,0.60754913,1.6873045,0.08504796,0.677832,0.61706954,0.2530339,0.59081256,0.67373,0.5684156,3.0186484,0.8200781,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
10,scn_tta,0.7,cp_ellipsoid_heatmap_cov,10,3.105609893798828,2.89821457862854,5.047987461090088,6.465335845947266,9.210147857666016,1.8808363676071167,1.0652656555175781,1.0798879861831665,1.0929328203201294,15.253849983215332,1.7740130424499512,0.9440963864326477,5.388184070587158,0.7929788827896118,2.429398775100708,2.511653184890747,3.8858673572540283,3.7987060546875,6.791057586669922,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.88751435,0.2871418,3.2498083,0.8721584,0.38979167,0.8987251,0.7409833,1.3623674,0.44156376,7.011519,0.32167894,1.1530949,0.087498,0.24738191,1.3435739,1.8142208,1.1291492,3.2057478,0.61858016,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
11,scn_tta,0.7,cp_ellipsoid_heatmap_cov,11,2.412738800048828,3.1699368953704834,7.66337251663208,5.323668479919434,4.263980388641357,4.146671772003174,3.244784355163574,3.3570451736450195,2.178441047668457,19.701642990112305,2.2730000019073486,0.6692053079605103,3.0161454677581787,1.5318323373794556,1.7181787490844727,3.967348575592041,3.314619779586792,4.177729606628418,6.658249855041504,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.58294505,2.6187043,1.8621935,1.7517242,0.8877627,1.0035541,0.19092488,1.5012817,0.20570849,3.8404858,0.70774335,0.25898933,1.5568086,0.7242359,0.51145613,0.74518985,1.1278083,0.96996164,0.5016902,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
12,scn_tta,0.7,cp_ellipsoid_heatmap_cov,12,2.5390145778656006,2.9669692516326904,3.658658504486084,9.173675537109375,8.086718559265137,4.192957401275635,2.9266631603240967,2.2314255237579346,1.989349365234375,14.174027442932129,3.4430387020111084,0.7727125287055969,3.4559555053710938,2.004330635070801,2.635993719100952,8.187087059020996,2.613886594772339,4.806340217590332,8.579900741577148,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.65936226,0.17134781,1.3895003,1.2626368,1.5027299,3.704854,1.0950773,0.16241547,0.5794845,6.18441,0.6544469,0.53319013,0.7752334,1.5908349,1.1790801,1.6987695,1.316368,0.89303243,3.5115588,local_soft_argmax,ISBI2015_ahr_scn_val_fold2_test_fold3,True
