,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,decoder_method,model_filename,pixel_based_sampling
0,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,0,10210.11328125,1670046.75,37370.89453125,5763.96630859375,1652.077392578125,4683381.0,8582978.0,3547.451416015625,5.660735130310059,530.4740600585938,200.4566192626953,295.9810485839844,27605242.0,4284861.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.49703163,3.7450166,0.5111529,1.3115531,2.1966984,3.9387424,0.52456796,3.0949223,2.3650224,1.7554657,1.5499732,1.2014005,3.1342738,0.7631572,local_soft_argmax,MML_shr_unet,False
1,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,1,1135.235595703125,15982.7685546875,54662.98828125,7014.41552734375,113013.4453125,7624.509765625,28331.00390625,7039.611328125,879.7764282226562,24389.908203125,60372.98046875,39023.81640625,60986.55078125,22417.607421875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8357315,1.6556513,0.8633497,1.9460765,2.1299696,4.41579,1.095019,1.5846663,1.0889537,0.548896,1.2766011,0.9115642,1.8998607,0.540976,local_soft_argmax,MML_shr_unet,False
2,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,2,56610224.0,215744464.0,1352808.375,342847.9375,8363012.5,10322315.0,42138016.0,10317281.0,199492416.0,615960320.0,102364632.0,38212.95703125,19057502.0,9733546.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.116783,4.2029915,1.8094593,3.9906356,1.780085,3.507105,1.1463095,21.410086,4.3437915,8.838164,3.3210666,0.98316467,3.153303,1.1673719,local_soft_argmax,MML_shr_unet,False
3,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,3,5358.39697265625,407.6044616699219,526.1895751953125,3411.728271484375,3550.46728515625,1509.68994140625,513.9660034179688,98.6951675415039,5807.51318359375,8916.4716796875,545.4207763671875,640.9454345703125,8714.80859375,14753.1220703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.321254,0.06210978,1.201539,1.4445671,0.96505475,0.55239457,0.5187131,2.2401989,0.98070896,0.6902504,1.3520932,1.4011896,0.73164254,0.48392835,local_soft_argmax,MML_shr_unet,False
4,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,4,14742576.0,340027.15625,726878528.0,17009908.0,113669312.0,2018959744.0,40499160.0,450585.875,9483303.0,3884793.0,2209251.0,21706.619140625,973338688.0,1256630144.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.201562,1.5182618,4.581136,6.16657,2.6695733,14.238154,4.350802,3.0897372,3.6638906,2.6145694,4.892911,1.2301648,5.965867,2.2545485,local_soft_argmax,MML_shr_unet,False
5,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,5,1811.1387939453125,25694.154296875,117547.2109375,338160.90625,153522.90625,51167644.0,33161.515625,646.7762451171875,131918.5625,968087.0,199198.265625,20866.083984375,29774908.0,17103.66015625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.62056357,2.0738797,0.77463293,1.6601989,2.129938,4.287585,0.62120414,1.3030946,2.350139,3.1576765,0.91374123,0.5758081,3.6045384,1.6781297,local_soft_argmax,MML_shr_unet,False
6,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,6,17645.6015625,6278.98828125,221014.515625,138892.1875,1101895.75,788320.125,8160794.5,8.19550609588623,20.537078857421875,18234.634765625,556.703125,0.8652276396751404,3635.817626953125,3339707.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.3143606,9.264305,1.5552318,1.5799936,10.159985,2.531184,0.5560598,1.6369497,0.46508262,0.744102,0.7847737,1.7097411,1.0745121,0.3093008,local_soft_argmax,MML_shr_unet,False
7,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,7,2.033940076828003,1795.1048583984375,15483.83984375,10955.09375,31516.15234375,1009960.6875,31309.849609375,929.9837646484375,408719.125,1646380.875,560679.0,159672.65625,10722.8466796875,28995.9140625,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0024521,1.2394512,1.9728471,1.0123975,1.2303149,3.0680566,1.5892252,4.6986547,5.170257,2.6401486,0.8781272,0.95505697,1.5133058,2.6337605,local_soft_argmax,MML_shr_unet,False
8,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,8,1023.6874389648438,36140.859375,692.8043212890625,5002.3427734375,39124.55078125,599441.0625,9722.845703125,429.06829833984375,719.5497436523438,91797.78125,15530.8779296875,13250.8359375,267345.625,759541.4375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8857303,1.1434869,1.2176983,3.0134995,1.4763565,1.9544132,2.2301855,2.0327125,0.65228105,2.5422134,1.4845259,0.78032976,1.675208,0.51945883,local_soft_argmax,MML_shr_unet,False
9,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,9,1416690.125,4376491.5,2052283.375,1311582.625,74829272.0,245096736.0,877436416.0,99155.4375,1482531.125,2132912.5,747175.1875,353640.78125,1003923776.0,1084770816.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1952374,3.5887892,2.462625,1.8217034,7.2877226,8.175028,13.773589,2.1560776,1.2641338,1.5460745,2.265201,1.9888053,2.4458067,5.2992444,local_soft_argmax,MML_shr_unet,False
