,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,decoder_method,model_filename,pixel_based_sampling
0,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,0,1603.5196533203125,22023.380859375,726.2974243164062,105.92799377441406,24.411441802978516,1038.1319580078125,6775.9453125,1673.7059326171875,2.6903603076934814,16.369243621826172,20.922683715820312,6.846067905426025,1061.1861572265625,216.62124633789062,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.394967,4.941283,1.2710016,1.502313,2.1669729,3.2066255,2.1861298,2.9537034,2.6741815,1.8852752,1.5857594,1.209625,2.3741593,1.0262314,weighted_spatial_mean,MML_shr_unet,False
1,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,1,73.75381469726562,22.81938934326172,1937.55908203125,1385.0714111328125,809.43310546875,76.84294128417969,23.30470085144043,3612.639892578125,9.558083534240723,14.408868789672852,42.687843322753906,38.93186569213867,219.2896728515625,59.685630798339844,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.040577,1.5994583,1.8244014,0.8950084,2.7895794,4.515162,0.6210877,1.9091401,0.9852154,0.650667,1.5337031,0.7476207,0.86883,0.71297395,weighted_spatial_mean,MML_shr_unet,False
2,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,2,273840.53125,115187.515625,27935.166015625,11861.134765625,288330.46875,3252.302001953125,19146.455078125,836202.25,61808.6484375,294374.125,79788.9296875,1763.3236083984375,8021.20361328125,10184.748046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.432446,2.9471414,2.7850835,3.4824345,7.465983,2.0577197,4.2953815,21.349401,4.609339,16.804453,6.571463,0.40371764,2.0589576,3.6932464,weighted_spatial_mean,MML_shr_unet,False
3,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,3,138.6782684326172,197.2980194091797,9.756218910217285,16.212804794311523,20.818693161010742,24.539592742919922,82.08827209472656,1386.0098876953125,6.161834716796875,8.05040168762207,8.901876449584961,6.124178409576416,65.87049865722656,19.5989990234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.467752,1.0879531,1.3860505,1.516601,0.9664024,0.8773186,0.65733033,2.379827,0.76835555,0.67033374,1.4658524,1.4334056,0.87264514,0.72727925,weighted_spatial_mean,MML_shr_unet,False
4,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,4,243763.34375,3063.58154296875,300201.21875,310364.21875,132251.78125,138280.734375,133957.828125,257399.828125,28195.212890625,35439.54296875,57844.3359375,81901.7734375,220090.09375,211677.640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.232336,1.913164,6.4413075,8.946018,6.9553084,18.609205,12.211565,9.124058,4.2655873,5.7829866,6.801851,5.1698737,6.2034535,4.81543,weighted_spatial_mean,MML_shr_unet,False
5,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,5,148.4100799560547,14.511833190917969,13482.7099609375,9019.5078125,233.43185424804688,4138.99072265625,668.0802612304688,376.26580810546875,923.0516967773438,52312.14453125,5103.1318359375,90.53158569335938,26956.068359375,352.66943359375,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8745691,2.0225432,2.2674265,2.8661034,2.2733626,2.4815981,0.75434446,1.3022945,2.6006863,2.3844995,2.1613135,0.32945988,4.793081,1.4860675,weighted_spatial_mean,MML_shr_unet,False
6,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,6,19500.451171875,311.4855041503906,1136.23046875,1336.88134765625,179.74681091308594,15031.4306640625,5932.70654296875,37.63607406616211,3.295931100845337,23.970727920532227,18.871875762939453,4.588624954223633,12.819258689880371,89.51792907714844,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.4176645,8.684645,0.98380345,1.4003574,7.764743,5.3050385,1.5657691,1.5935642,0.47830257,0.6636908,0.8544806,1.7508718,0.91774976,0.6898288,weighted_spatial_mean,MML_shr_unet,False
7,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,7,95.99552917480469,38.10149383544922,29.68009376525879,29.85707664489746,23.17838478088379,101.82489013671875,61.98214340209961,150.33758544921875,2149.210205078125,1522.0084228515625,1410.0001220703125,186.178955078125,112.39498901367188,35.5869026184082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9739203,1.3269273,2.0317163,1.0531653,1.2394433,2.9250576,1.6824727,4.6670747,4.95727,1.9734614,1.4511319,1.968836,1.7783412,2.3699636,weighted_spatial_mean,MML_shr_unet,False
8,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,8,144.43031311035156,87.43280029296875,250.07986450195312,30.76209259033203,40.63103103637695,439.5905456542969,143.9274139404297,693.97216796875,7.83657693862915,336.71258544921875,53.96351623535156,37.62753677368164,2341.944091796875,1441.62744140625,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0730152,1.173899,1.0692596,2.814965,1.4357039,0.66734356,1.6284306,2.0176423,0.64489424,2.5529606,1.2021178,0.71350676,0.8487089,0.8788849,weighted_spatial_mean,MML_shr_unet,False
9,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,9,49196.74609375,18624.5,59633.5859375,26602.470703125,67384.6328125,246249.984375,1260751.375,40555.71484375,6318.8154296875,7690.13427734375,2429.7119140625,2060.1650390625,134359.125,80350.28125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.3006043,4.484144,2.59543,1.6860462,9.198499,9.282871,13.398026,3.3475738,1.6336433,1.8783573,1.3226117,3.558237,4.2583184,4.0886784,weighted_spatial_mean,MML_shr_unet,False
10,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,10,16057.6083984375,398686.5625,11360.5751953125,28533.1640625,38.17715835571289,403.499755859375,433.56036376953125,44588.5078125,2445.583251953125,10064.90625,2362.25634765625,134577.71875,34319.76171875,7490.3154296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.811137,8.371201,7.6862435,3.7891984,1.9411272,2.5553896,1.7821202,6.713044,1.8006039,3.7153199,2.1431189,8.26882,5.7429543,2.7475376,weighted_spatial_mean,MML_shr_unet,False
11,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,11,37.81240463256836,811.8904418945312,3515.759521484375,6306.20654296875,3335.107421875,275.2375183105469,275.614990234375,136.9029541015625,150.74951171875,22.485122680664062,33.221954345703125,3867.133056640625,87.98797607421875,29.31133270263672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.924341,2.283938,3.927962,2.9265344,2.5654266,3.6485927,2.8758354,1.8022051,1.73337,1.1720846,1.429399,3.5301583,0.41277316,1.1392993,weighted_spatial_mean,MML_shr_unet,False
12,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,12,210950.484375,79904.8125,63497.19140625,102934.109375,399260.125,34391.55078125,166560.125,458375.625,2471.682861328125,11592.759765625,32157.4453125,128580.890625,25972.20703125,39691.421875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.6980715,3.5420678,3.144133,2.0696876,10.537194,5.31654,5.819263,6.8304477,0.79830885,1.4378935,2.7473,8.565737,3.4364302,4.157541,weighted_spatial_mean,MML_shr_unet,False
13,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,13,22556.89453125,1590.2713623046875,2711.00634765625,6724.8232421875,8392.4208984375,542.7295532226562,1023.0772705078125,13007.912109375,994.1331176757812,7418.7431640625,1014.337158203125,269.09759521484375,14419.5390625,8555.208984375,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0625882,3.8987248,0.48253223,1.7336313,2.3993847,2.48219,1.2736404,2.3832154,1.3514007,3.9144948,4.2835326,1.2185342,5.7198553,4.0922837,weighted_spatial_mean,MML_shr_unet,False
14,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,14,473.4819641113281,185.4695281982422,25.034910202026367,13.676331520080566,3389.515380859375,15.61757755279541,17.362247467041016,259.65789794921875,33.280311584472656,8.893113136291504,14.015751838684082,2188.61083984375,57.79892349243164,285.4836120605469,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.5249572,0.9856055,0.54230005,0.9281245,1.5780381,1.9110719,0.91663414,1.7156734,1.5654194,1.8115766,0.9174746,2.3019803,2.5983257,1.6792051,weighted_spatial_mean,MML_shr_unet,False
15,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,15,38.55421829223633,1176.7740478515625,60.417747497558594,177.225341796875,3205.714599609375,863.2081909179688,166.53121948242188,130.4600830078125,7.382565975189209,17.825592041015625,22.620155334472656,12.45073413848877,438.5633544921875,722.5505981445312,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77831703,2.3030128,0.99348396,1.5297313,5.7433114,4.8884726,3.3240023,1.8524405,0.60935926,1.2531539,0.4024505,1.0382729,1.3822299,3.1206064,weighted_spatial_mean,MML_shr_unet,False
16,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,16,29.637399673461914,34.112220764160156,1932.1751708984375,5916.05224609375,89.02796173095703,868.76611328125,775.70556640625,56.7797966003418,104.68438720703125,23.731529235839844,67.64311218261719,5173.3486328125,26.345239639282227,16.205739974975586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4089435,0.5589449,4.850935,2.651827,1.0914589,4.452261,2.7378907,0.640426,0.9956731,1.0909957,1.2462593,8.259093,0.6758379,1.4409014,weighted_spatial_mean,MML_shr_unet,False
17,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,17,878.8429565429688,15.674077033996582,330.4801940917969,189.02362060546875,911.431884765625,10196.578125,30441.607421875,143.79518127441406,17.78227424621582,65.3455581665039,32.977760314941406,13.938606262207031,545.5401000976562,119.46305084228516,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.472171,1.5115811,1.7730103,1.3270532,0.98370886,4.61233,5.06423,0.83487177,1.0507545,0.8212493,0.5125168,0.4417602,2.311636,2.6421733,weighted_spatial_mean,MML_shr_unet,False
18,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,18,276.6497802734375,17.961977005004883,75.23126220703125,200.83580017089844,414.16082763671875,153.95733642578125,3088.10693359375,130.9501495361328,1863.9443359375,77.57411193847656,247.42236328125,104.73504638671875,404.6580505371094,180.40289306640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5019312,0.76608175,1.0340984,0.8660762,1.0681175,1.124705,2.8348682,1.0002766,2.972561,1.0284392,1.9654909,1.4740251,0.58461636,1.2959206,weighted_spatial_mean,MML_shr_unet,False
19,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,19,5759.7919921875,101.1762924194336,124.43230438232422,216.4983367919922,873.8460083007812,73.38275146484375,159.35154724121094,149602.609375,13.551651000976562,597.155517578125,13.223541259765625,96.26107025146484,693.5046997070312,360.208740234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6755588,0.9612553,0.73450255,1.3471745,0.9137018,1.2720854,2.9238992,4.3755593,1.3657771,0.4391999,0.4566103,1.2578351,1.8762637,3.1823392,weighted_spatial_mean,MML_shr_unet,False
20,one_hot_ensemble_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,20,155.55758666992188,15510.9501953125,20.35497283935547,15.47813606262207,260214.9375,9470.9091796875,5847.64453125,3092.369140625,433.9949951171875,44238.05859375,50541.50390625,15472.4375,8894.6689453125,1480.6549072265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1222337,2.8623116,0.7727896,0.21346594,8.967423,4.264195,2.469758,3.0308084,1.5953039,9.521534,4.51931,7.344417,5.3031144,3.198022,weighted_spatial_mean,MML_shr_unet,False
