,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,decoder_method,model_filename,pixel_based_sampling
0,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,0,6.031604766845703,1653.2884521484375,22.755504608154297,4.874715805053711,3.643240451812744,57.6982307434082,104.66708374023438,11.03321361541748,1.5243674516677856,3.3787448406219482,3.71427845954895,1.6320271492004395,60.1070442199707,23.943523406982422,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.44430733,4.4987345,0.8397769,1.2738484,2.1207252,3.5258758,0.9268724,3.623679,2.6443162,1.7911174,1.4771242,1.2262692,3.0500329,1.0046921,weighted_spatial_mean,MML_shr_unet,True
1,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,1,4.574132442474365,3.1091246604919434,30.97231674194336,10.914499282836914,60.60234069824219,34.766807556152344,7.026858329772949,36.4332275390625,4.963897705078125,3.896223783493042,6.591136455535889,3.2498743534088135,40.188690185546875,10.28906536102295,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.7961625,1.5894109,0.9018948,1.7960877,2.416288,4.5013328,0.6636057,1.5819894,0.9385215,0.6636197,1.5102623,0.8064209,1.108548,0.49969283,weighted_spatial_mean,MML_shr_unet,True
2,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,2,12144.7392578125,1554.61279296875,252.05972290039062,250.9308319091797,2497.7373046875,245.1896514892578,447.4614562988281,7723.60791015625,1020.2208251953125,17360.34375,5027.46142578125,62.0246467590332,449.360595703125,385.1289978027344,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.480925,5.6175447,1.6199958,3.3861098,2.0277903,3.2456837,1.9793129,16.658554,5.2255707,18.652285,4.931297,0.7554638,2.0758128,1.7561378,weighted_spatial_mean,MML_shr_unet,True
3,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,3,4.539949893951416,18.700891494750977,3.8362255096435547,1.927234411239624,9.106229782104492,3.4517571926116943,7.34062385559082,8.020840644836426,1.8073561191558838,2.6807825565338135,2.0963432788848877,1.8258663415908813,6.509923458099365,5.913557052612305,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.3546958,0.252019,1.3688066,1.5096024,1.0052259,0.82867855,0.54593647,2.183935,0.7838155,0.6650516,1.4626756,1.461367,0.84130216,0.6516327,weighted_spatial_mean,MML_shr_unet,True
4,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,4,3608.173828125,45.343650817871094,2005.0439453125,588.905517578125,5071.6484375,6368.49462890625,1513.80859375,1452.56787109375,3046.963623046875,735.5304565429688,406.24237060546875,1044.0084228515625,786.7865600585938,688.4059448242188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.258017,1.6232073,4.5715485,2.8016536,5.126699,10.822829,6.4123874,4.495344,4.1415157,3.1853485,4.655423,1.2832361,5.3780665,2.331286,weighted_spatial_mean,MML_shr_unet,True
5,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,5,8.576451301574707,5.7542314529418945,82.95504760742188,90.41919708251953,13.407251358032227,124.93963623046875,23.416994094848633,3.652475357055664,37.563446044921875,381.083740234375,155.0018310546875,10.126500129699707,402.9223937988281,24.49921226501465,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6396064,2.0340338,0.9037639,1.9931281,2.298651,2.0479867,0.43191448,1.3339931,2.3996062,2.375046,0.5118509,0.45980757,3.2395377,1.3280808,weighted_spatial_mean,MML_shr_unet,True
6,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,6,310.94720458984375,19.757307052612305,19.88642692565918,23.63835906982422,20.60527992248535,203.65716552734375,93.98235321044922,1.0808943510055542,1.5684252977371216,5.8294830322265625,4.218683242797852,2.1669921875,4.702823162078857,16.598373413085938,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.48524,9.436935,1.4548014,1.3160653,8.263982,3.6253052,0.6233642,1.6070663,0.46478438,0.8308399,0.8631235,1.7277241,0.9870897,0.59182715,weighted_spatial_mean,MML_shr_unet,True
7,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,7,4.527244567871094,3.5290606021881104,6.355471134185791,4.470996379852295,4.049893856048584,11.327725410461426,6.563491344451904,3.1783244609832764,109.20113372802734,80.54418182373047,38.477760314941406,12.237480163574219,9.888283729553223,5.364683151245117,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.8217621,1.2661943,2.0400467,1.0331795,1.254727,2.9637709,1.6471193,4.8012524,2.9779525,2.085471,1.4229695,1.0030695,1.5977765,2.4393237,weighted_spatial_mean,MML_shr_unet,True
8,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,8,7.906245708465576,6.3240814208984375,6.962491035461426,3.066931962966919,4.309668064117432,44.2189826965332,20.157968521118164,4.576291561126709,2.2105119228363037,12.631874084472656,8.1038818359375,2.8561325073242188,50.30449676513672,22.426815032958984,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.9381746,1.1999224,1.1487513,2.8949153,1.419681,1.3271312,1.8853735,2.0443833,0.6293222,2.3716137,1.3208759,0.7428802,1.3108319,0.54930294,weighted_spatial_mean,MML_shr_unet,True
9,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,9,1864.19091796875,434.1325988769531,537.8400268554688,525.4766235351562,867.5391235351562,6118.37939453125,5869.61279296875,289.6903381347656,493.11932373046875,207.5185089111328,108.07435607910156,50.397621154785156,5805.4345703125,7666.8203125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2672073,3.936988,1.3139168,1.023811,4.10746,5.75971,8.1352825,1.2183133,1.3843911,1.3031818,1.982268,1.5206071,2.502725,4.2421074,weighted_spatial_mean,MML_shr_unet,True
10,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,10,133.34568786621094,10625.259765625,366.90924072265625,755.419189453125,7.317444324493408,62.821556091308594,35.81485366821289,545.78515625,117.69346618652344,157.12693786621094,83.46220397949219,1222.675048828125,723.4947509765625,159.784423828125,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.9334478,6.1422048,8.801085,3.21936,1.9112594,1.9996475,1.4659011,4.295041,1.6430218,2.3805947,1.6327604,4.358382,2.5869925,3.175109,weighted_spatial_mean,MML_shr_unet,True
11,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,11,2.067634105682373,25.33955955505371,117.8158187866211,270.2276306152344,83.5523452758789,16.808259963989258,13.402889251708984,3.7883105278015137,3.59641695022583,2.6934123039245605,4.429764270782471,222.2323760986328,7.853453159332275,5.974737167358398,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.9740334,1.5522279,1.8358959,1.2290903,1.4334097,3.532101,2.932089,1.9125941,1.3616829,1.1678843,1.3180478,2.6234488,0.56306887,1.087102,weighted_spatial_mean,MML_shr_unet,True
12,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,12,8136.34423828125,634.5640869140625,691.4384765625,886.796142578125,10485.6240234375,3299.17626953125,1680.4473876953125,4577.41552734375,71.19013214111328,480.28631591796875,759.6327514648438,2454.6904296875,1280.8270263671875,1172.0960693359375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.3821945,1.8983643,3.8285089,0.5879869,8.49788,4.3041835,2.6504428,3.8712778,1.2515131,1.003029,2.2101572,4.2881985,3.0969386,3.4317365,weighted_spatial_mean,MML_shr_unet,True
13,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,13,260.5164489746094,36.10025405883789,88.93102264404297,87.33805084228516,83.23078918457031,67.61279296875,34.44962692260742,56.641170501708984,56.511295318603516,88.74340057373047,23.173280715942383,7.619350433349609,643.3804321289062,239.88124084472656,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.98217326,3.4384618,1.2295005,1.1724875,0.9968397,3.0129542,0.58068264,1.0079465,1.3325022,2.7729394,3.9241617,1.4332985,4.2314305,1.6772782,weighted_spatial_mean,MML_shr_unet,True
14,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,14,22.838319778442383,13.498602867126465,6.343442916870117,2.469716787338257,87.77517700195312,5.623942852020264,3.8587875366210938,4.1372175216674805,7.885608196258545,3.3542284965515137,3.0179247856140137,227.75975036621094,9.832562446594238,21.877260208129883,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0891323,0.6885908,0.58473575,0.91968393,0.9617375,1.8600307,0.93341523,1.8382885,1.5042198,1.7833875,0.92770076,1.4775524,2.5554674,1.9711663,weighted_spatial_mean,MML_shr_unet,True
15,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,15,1.9065744876861572,11.630663871765137,9.75428295135498,13.250371932983398,202.83775329589844,91.4173355102539,12.718085289001465,2.1923341751098633,2.328970193862915,2.198291063308716,2.5795631408691406,2.0900914669036865,20.166587829589844,24.72325325012207,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.80392396,1.183622,0.86746514,1.4356931,5.8687606,3.496875,3.2521937,1.8476983,0.53727984,1.3160573,0.44186017,1.0316064,1.2492769,3.3430066,weighted_spatial_mean,MML_shr_unet,True
16,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,16,1.4792152643203735,3.8907113075256348,70.52217864990234,121.59477996826172,5.92076301574707,49.78465270996094,48.33842468261719,1.1961487531661987,4.792059421539307,3.1297948360443115,7.7645158767700195,111.79425811767578,2.814122438430786,2.878892421722412,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.42701596,0.5748953,1.6463332,0.91763,0.81025964,3.8770669,2.223271,0.65952575,0.59980214,0.9284207,1.2470849,4.9050016,0.6710293,1.3628495,weighted_spatial_mean,MML_shr_unet,True
17,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,17,17.942766189575195,5.429948806762695,28.663118362426758,11.542939186096191,14.05545711517334,559.7272338867188,756.568603515625,3.0939393043518066,4.243353366851807,5.469883918762207,3.7641196250915527,1.9787662029266357,30.49068832397461,10.629542350769043,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,9.664724,1.5273671,1.2768178,1.0965893,0.7638351,3.5056238,5.6295285,0.8715248,1.1209446,0.9112407,0.41263345,0.4850794,2.3456566,2.6031117,weighted_spatial_mean,MML_shr_unet,True
18,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,18,5.913395881652832,2.5103063583374023,8.022212982177734,8.742863655090332,25.411006927490234,15.230359077453613,95.8806381225586,2.1015450954437256,39.08749008178711,7.587886333465576,28.88882064819336,15.767417907714844,16.52188491821289,10.542008399963379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.2538654,0.74800974,1.0254464,0.7790411,0.7144068,1.4139897,1.9265038,1.0153291,1.9117047,0.9734137,1.8701669,1.1970628,0.63138413,1.2962489,weighted_spatial_mean,MML_shr_unet,True
19,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,19,354.4554138183594,26.787012100219727,7.53626823425293,6.347751140594482,28.890932083129883,5.011983394622803,7.257796764373779,1071.7757568359375,2.4426777362823486,35.54442596435547,3.200157403945923,3.82851243019104,25.596336364746094,14.784878730773926,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.7612058,0.93751925,0.7978399,1.1238841,0.52514213,1.3506099,2.746997,3.5431497,1.3563559,0.39633816,0.4089431,1.292286,2.1240203,3.0778213,weighted_spatial_mean,MML_shr_unet,True
20,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,20,16.099790573120117,64.13874816894531,3.5384814739227295,2.3041319847106934,7433.73876953125,235.0925750732422,78.33958435058594,13.054693222045898,19.838281631469727,4446.34521484375,7347.583984375,678.3408203125,1021.5147705078125,77.02131652832031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7884183,0.66695553,0.72869706,0.24643503,10.409736,1.9260124,1.6217395,2.160287,0.8681355,7.542328,4.158973,4.2012997,3.1526263,3.3196635,weighted_spatial_mean,MML_shr_unet,True
21,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,21,13.719590187072754,15.674211502075195,81.92163848876953,62.52748107910156,8.540751457214355,30.695337295532227,11.597407341003418,16.378782272338867,135.5141143798828,28.09063720703125,10.533042907714844,63.27227020263672,34.134403228759766,11.30457878112793,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.2685018,0.7724795,1.3067399,0.4668732,1.2822349,1.3592513,1.4974638,1.7553385,1.7954106,4.584968,2.417275,0.19987261,1.5474073,0.7160631,weighted_spatial_mean,MML_shr_unet,True
22,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,22,17.806106567382812,11.617852210998535,4.249996662139893,3.66481351852417,382.1056213378906,40.88706588745117,7.7340312004089355,7.0079665184021,1.9516531229019165,10.55042839050293,7.462515830993652,18.92696189880371,61.93230056762695,27.91680908203125,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.29538956,0.7621653,0.7976667,0.50471836,1.6509306,1.700717,2.5021427,0.41076958,0.9316834,0.880296,0.23698315,0.751759,1.8040537,1.9408348,weighted_spatial_mean,MML_shr_unet,True
23,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,23,81.18877410888672,9.785297393798828,9.727913856506348,13.547391891479492,8.403618812561035,64.04117584228516,129.42034912109375,135.9919891357422,2.4430694580078125,9.627893447875977,7.829626083374023,7.632762908935547,19.099899291992188,21.275209426879883,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.9307276,1.6987773,1.6195339,0.9814216,1.1666254,4.9272785,2.7746074,2.0329936,0.89066744,0.11962759,1.2344223,1.4741235,1.6437415,4.0100493,weighted_spatial_mean,MML_shr_unet,True
24,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,24,0.7351023554801941,2.6281232833862305,3.7999753952026367,3.1406044960021973,4.941704273223877,41.21440887451172,13.549391746520996,1.61947762966156,1.8459609746932983,2.235577344894409,2.5689520835876465,2.8444936275482178,7.484590530395508,4.107892990112305,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.1366304,0.904244,0.83509845,0.5773746,0.9942949,1.386786,3.5215077,0.53782976,0.7511288,1.3003404,1.3668922,0.5586408,2.7522967,3.1879992,weighted_spatial_mean,MML_shr_unet,True
25,one_hot_ensemble,0.7,cp_ellipsoid_heatmap_cov,25,3.491502046585083,15788.625,83.07649230957031,67.96363830566406,10059.521484375,4.031790733337402,3.363435745239258,1.9675008058547974,5.635653972625732,20.295663833618164,5.397385120391846,11.80751895904541,8.280261039733887,5.430442810058594,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9131242,27.450563,1.1320649,1.2903714,13.231416,1.493683,1.0648686,1.0921555,0.89171094,1.0311229,3.824943,1.0491568,0.9745584,1.6132562,weighted_spatial_mean,MML_shr_unet,True
