,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,decoder_method,model_filename,pixel_based_sampling
0,one_hot,0.7,cp_ellipsoid_heatmap_cov,0,6.930991172790527,11.66105842590332,19.9343318939209,81.6738510131836,21.606863021850586,49.20178985595703,56.75718307495117,253.0089569091797,3.951826810836792,9.313698768615723,6.295133590698242,3.46332049369812,108.63091278076172,26.304283142089844,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5294929,7.877778,0.5837484,0.9577369,2.2072756,5.2352285,0.8405427,4.358974,2.5571618,1.8707571,1.3186376,1.2719967,4.049237,0.41617042,local_soft_argmax,MML_shr_unet,True
1,one_hot,0.7,cp_ellipsoid_heatmap_cov,1,11.866024017333984,4.57582426071167,951.8510131835938,80.88355255126953,35.68057632446289,53.75408172607422,10.257772445678711,34.44142532348633,6.773915767669678,5.974559307098389,10.104743003845215,15.11931037902832,59.10224533081055,15.445293426513672,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.7813761,1.8053186,1.4793996,2.1097846,2.2590692,4.289754,1.4336097,1.3797916,1.3373673,0.490878,1.8874695,1.0613139,1.9675432,0.98532176,local_soft_argmax,MML_shr_unet,True
2,one_hot,0.7,cp_ellipsoid_heatmap_cov,2,9175.53125,142.44139099121094,257.85394287109375,116.82678985595703,982.3472290039062,79.85795593261719,6016.3349609375,757.04736328125,802.2304077148438,4078.17236328125,3582.845458984375,447.096923828125,440.9627380371094,259.1916198730469,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,41.41526,8.915432,2.9931993,5.102871,3.2840946,3.9533384,1.2434564,29.339277,1.0683649,6.271144,3.9987495,0.7244731,3.1434202,2.0072107,local_soft_argmax,MML_shr_unet,True
3,one_hot,0.7,cp_ellipsoid_heatmap_cov,3,13.177789688110352,18.72244644165039,117.49803924560547,34.927005767822266,20.715402603149414,6.039432525634766,54.79473114013672,16.284709930419922,4.307165145874023,2.6345787048339844,3.1195709705352783,3.7272067070007324,4.573248863220215,8.797794342041016,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0782192,0.015355404,1.4192414,1.2321029,1.262633,0.5504723,0.47608846,2.0740886,0.42546096,0.6253462,1.0317929,1.3657506,0.60502344,0.15951127,local_soft_argmax,MML_shr_unet,True
4,one_hot,0.7,cp_ellipsoid_heatmap_cov,4,9654.0146484375,21.8042049407959,2686.7060546875,114.5856704711914,521.7622680664062,442.8698425292969,1327.852783203125,857.0821533203125,3557.5595703125,344.4212341308594,1420.2091064453125,10984.9677734375,911.4923706054688,859.5144653320312,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,46.689823,2.022634,5.578043,2.770433,2.2788868,8.785519,2.9303539,1.6655009,11.117695,3.3929923,6.322083,1.3609728,3.2654161,1.5949578,local_soft_argmax,MML_shr_unet,True
5,one_hot,0.7,cp_ellipsoid_heatmap_cov,5,8.336068153381348,10.043272018432617,6251.53955078125,1607.4334716796875,9.944314002990723,184.490478515625,44.736228942871094,35.88180923461914,373.37701416015625,201.9969024658203,312.6957092285156,6.979297637939453,1062.0706787109375,52.1984748840332,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4855712,1.8993397,1.0090169,1.4194567,1.8178716,3.372191,1.0243211,2.1059475,2.524274,3.113868,1.029095,1.1529093,2.0628035,1.7649735,local_soft_argmax,MML_shr_unet,True
6,one_hot,0.7,cp_ellipsoid_heatmap_cov,6,225.58616638183594,6.652707099914551,2130.706298828125,49.552268981933594,18.529909133911133,375.1701354980469,145.52813720703125,20.522846221923828,4.216488838195801,5.556983470916748,5.558934688568115,4.348386764526367,8.495036125183105,18.862077713012695,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0866394,9.628082,2.1458483,1.8768363,11.164289,0.6193668,0.9962909,1.6735642,0.44820592,0.61344296,1.1634781,1.7297666,1.0712719,1.0286338,local_soft_argmax,MML_shr_unet,True
7,one_hot,0.7,cp_ellipsoid_heatmap_cov,7,2.803352117538452,2.6051645278930664,45.41672134399414,28.257413864135742,5.206961154937744,16.75700569152832,13.536602973937988,5.238407135009766,199.93980407714844,75.18991088867188,39.776573181152344,14.487030029296875,98.6105728149414,7.381949424743652,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.2389214,1.2285765,1.912078,1.1854208,1.1834937,3.2147806,2.57958,5.043256,2.791987,4.9299297,1.9054488,0.9737237,1.0139116,2.8135712,local_soft_argmax,MML_shr_unet,True
8,one_hot,0.7,cp_ellipsoid_heatmap_cov,8,7.3445916175842285,6.600949287414551,71.05734252929688,5.84816837310791,7.005761623382568,19.64610481262207,16.598957061767578,21.59756851196289,2.347102165222168,11.431377410888672,7.9046630859375,4.660170555114746,20.06078338623047,28.232053756713867,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0328174,1.1095101,1.2373545,3.4145522,1.4489154,1.8828703,3.035388,2.247949,1.0066622,3.0129254,1.9454354,0.7281425,1.6089354,1.3169558,local_soft_argmax,MML_shr_unet,True
9,one_hot,0.7,cp_ellipsoid_heatmap_cov,9,2857.4521484375,354.9690856933594,914.2357177734375,76.48912811279297,1060.5750732421875,742.739013671875,8789.8701171875,59.0847282409668,257.48358154296875,107.94477844238281,122.02687072753906,18.398433685302734,2833.268310546875,2271.429931640625,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.657757,4.059236,12.38409,10.8243065,1.6993693,3.936037,5.2615376,2.0488257,1.4680625,1.0388876,4.429297,1.0339811,16.403675,0.9987533,local_soft_argmax,MML_shr_unet,True
