,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,decoder_method,model_filename,pixel_based_sampling
0,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,0,79.58477783203125,246.03741455078125,67.21436309814453,646.9384155273438,45.67406463623047,324.91534423828125,16859.3828125,3011.534912109375,80.20918273925781,104.15126037597656,30.401058197021484,20.09749412536621,2630.376220703125,985.1080932617188,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.51248896,7.2559447,0.85133094,2.6900692,1.9477724,4.752074,1.7489628,8.087381,3.0902464,1.7727424,1.1417948,1.3114552,2.1559846,0.87184614,local_soft_argmax,MML_shr_unet,False
1,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,1,5950.93505859375,42.88417053222656,3334.908447265625,91.3148422241211,32.67970275878906,223.29827880859375,922.4490356445312,394.0545959472656,24.3437442779541,34.19242858886719,78.95297241210938,57.556297302246094,1727.375,288.8739318847656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8089602,1.584471,6.8414154,1.8512843,1.6211175,3.7772832,0.36613742,0.8918949,0.99043995,0.23999825,1.8630422,0.75617594,2.401331,0.6787702,local_soft_argmax,MML_shr_unet,False
2,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,2,63783.08984375,806.1976318359375,82224.09375,8215.42578125,240.14553833007812,855.2567138671875,1736371.5,811938.0625,5403.7646484375,30071.783203125,6358.07763671875,927.4352416992188,1043.718505859375,777.2442016601562,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.48097,9.084614,2.6280537,4.7325983,2.2368553,3.0434134,6.526528,26.348888,6.0992947,3.6546957,2.8564684,1.920066,3.1181467,1.6813233,local_soft_argmax,MML_shr_unet,False
3,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,3,271.326416015625,148.24732971191406,34.414573669433594,74.16741180419922,29.377485275268555,102.46366119384766,256.0416564941406,73.54590606689453,17.15074920654297,75.65498352050781,35.712215423583984,11.485554695129395,63.791378021240234,294.04248046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2312709,0.8132751,1.5289896,1.304797,1.2228965,1.1418072,0.6152691,2.0255325,0.59384596,0.9648722,1.0608468,1.1918174,0.7503854,0.92659086,local_soft_argmax,MML_shr_unet,False
4,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,4,2090.16748046875,61.90746307373047,520948.1875,678166.6875,4728.84130859375,583878.0625,546225.5625,28963.666015625,4841.134765625,89226.40625,672370.1875,50494.6875,17876.24609375,312901.46875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.114628,1.9228106,10.074191,12.713772,3.2172935,15.204195,7.6951475,4.5334516,4.9639006,2.987586,13.133375,18.7758,5.373532,4.610156,local_soft_argmax,MML_shr_unet,False
5,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,5,282.9247741699219,38.138423919677734,1303.149169921875,479.95843505859375,84.8697509765625,10540.1552734375,493.2914733886719,109.44792938232422,148.41407775878906,363.9495849609375,190.22630310058594,25.420398712158203,7561.79541015625,3654.06689453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7092169,2.0857995,1.0172997,2.2303538,2.3406456,4.285779,0.27506027,1.5503728,2.3401206,2.727579,2.6473873,1.0733516,16.608322,5.4164987,local_soft_argmax,MML_shr_unet,False
6,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,6,5305.8212890625,336.0421447753906,410.94598388671875,91.73196411132812,479.9907531738281,1423.9381103515625,2084.45458984375,19.9408016204834,26.862581253051758,30.428104400634766,34.33620834350586,18.58578872680664,40.7183837890625,432.7069396972656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.5150576,7.47092,1.7750335,1.9256761,7.9015584,5.290843,0.7570107,1.6894624,0.3717073,0.7655883,0.76702607,1.8397316,1.3890603,0.9930572,local_soft_argmax,MML_shr_unet,False
7,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,7,31.989015579223633,18.910888671875,51.375144958496094,11.779126167297363,77.48755645751953,220.31773376464844,401.5563049316406,180.60923767089844,255.9408721923828,1286.6729736328125,360.1528625488281,326.631591796875,95.47134399414062,278.8018493652344,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.5388097,1.2263666,1.8423612,0.908539,0.61942685,2.625022,1.4699589,3.9188054,3.5548754,4.5325913,1.0340039,1.7407569,1.0166986,2.565406,local_soft_argmax,MML_shr_unet,False
8,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,8,570.5288696289062,401.7624816894531,23.920530319213867,24.715538024902344,74.24414825439453,196.82461547851562,107.63853454589844,693.3279418945312,35.37913513183594,70.17864990234375,37.18379592895508,64.0589828491211,209.0958709716797,400.0824890136719,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.3343916,1.7174745,1.2280161,3.0582016,1.7418766,1.1759837,2.8293164,1.3485588,1.0776759,2.545498,1.84592,0.93768054,1.2610856,1.2457999,local_soft_argmax,MML_shr_unet,False
9,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,9,111520.921875,1970.0767822265625,6920.556640625,12763.322265625,334328.625,21410.001953125,12567369.0,9081.6904296875,948.015869140625,400.2605895996094,292.5108947753906,55.163604736328125,5402.2802734375,14529.67578125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.9380174,6.170274,2.2754219,8.4096,9.950354,8.440171,18.953636,0.9490043,3.9464948,1.9002515,3.537109,1.2872975,7.1841702,5.2676654,local_soft_argmax,MML_shr_unet,False
