,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,decoder_method,model_filename,pixel_based_sampling
0,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,0,5787.4716796875,427.93310546875,622.1396484375,4708.068359375,759.7501220703125,2273.1455078125,459.7075500488281,24521.611328125,51.88101577758789,1583.796630859375,26.20343589782715,130.66250610351562,408.1476135253906,118.29158782958984,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5742803,7.064024,1.7586355,4.7643185,3.4579363,4.3505545,2.6723065,7.61284,4.2252803,2.7913167,1.1213511,1.0930605,1.7901704,0.9519499,weighted_spatial_mean,MML_shr_unet,False
1,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,1,651.3338623046875,310.6950988769531,20796.55859375,3242.95166015625,183.72665405273438,254.55722045898438,70.94831848144531,1109.7989501953125,24.500728607177734,42.141136169433594,64.64028930664062,164.50967407226562,974.3208618164062,162.63722229003906,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5122507,2.5831094,11.707325,4.400824,2.5335288,3.740504,0.50180155,2.2572415,1.4060411,0.5532633,2.1702452,0.9665942,5.342538,2.3077745,weighted_spatial_mean,MML_shr_unet,False
2,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,2,28405.263671875,7137.74462890625,8084.7578125,3301.04150390625,15339.05859375,1142.6573486328125,12063.810546875,20612.634765625,6448.5947265625,48731.25,36230.16796875,13035.59765625,2710.093994140625,674.4225463867188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.888933,3.9420438,4.0591826,4.703171,12.009898,2.5762465,18.730635,22.515228,4.115201,14.730279,12.269954,7.3271017,4.045903,4.111849,weighted_spatial_mean,MML_shr_unet,False
3,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,3,121.28111267089844,1130.6580810546875,1305.0714111328125,814.7154541015625,770.600341796875,47.64320373535156,47.45021057128906,646.5382690429688,40.692039489746094,34.73807907104492,23.577665328979492,380.62158203125,70.37769317626953,340.9552001953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5741628,2.090619,4.8674846,3.1087377,2.921004,1.1838963,1.4707595,2.8835464,0.35631704,0.87733954,1.2465825,0.7351473,0.87178576,1.5929463,weighted_spatial_mean,MML_shr_unet,False
4,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,4,13572.220703125,2718.485595703125,111937.4375,142091.046875,31801.564453125,115561.4609375,36781.7109375,14056.1826171875,9247.26171875,69459.578125,80770.6640625,85288.7890625,12244.5966796875,21440.3671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.022167,3.447795,14.274036,15.294552,8.945012,22.582445,22.66619,11.306083,2.426151,11.79073,18.735676,13.623039,12.33968,10.665178,weighted_spatial_mean,MML_shr_unet,False
5,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,5,296.9991760253906,171.17776489257812,37741.171875,15274.16015625,129.30224609375,4009.985107421875,158.8309783935547,439.01812744140625,245.08689880371094,2000.4290771484375,4709.78125,87.06332397460938,8945.8115234375,655.2864379882812,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8035383,1.6364621,13.07535,8.970656,2.8810956,4.2738633,0.7435523,1.8435043,2.550062,1.7399426,4.193986,1.0011563,13.383657,7.446286,weighted_spatial_mean,MML_shr_unet,False
6,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,6,14639.3837890625,217.686767578125,3483.90625,1209.7706298828125,104.31114959716797,6314.11328125,374.228271484375,233.856689453125,107.74359893798828,92.60791778564453,109.5108413696289,32.41556930541992,105.19284057617188,295.64501953125,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.2148776,6.452298,4.1232686,2.432793,8.453301,5.082332,2.5908587,2.2339792,0.74788874,0.39644906,0.85205066,1.9702599,0.7082427,1.7901437,weighted_spatial_mean,MML_shr_unet,False
7,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,7,99.01142883300781,20.808807373046875,1124.9287109375,2424.3759765625,131.59011840820312,199.14817810058594,72.96939849853516,91.22466278076172,3689.5126953125,2019.7164306640625,438.86126708984375,323.5675048828125,552.4657592773438,121.06098937988281,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8315371,1.4056605,2.462899,3.15235,0.9284585,2.4472816,1.6485782,3.2313178,5.4511614,3.5964363,1.2532041,1.6278216,3.4356182,2.265808,weighted_spatial_mean,MML_shr_unet,False
8,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,8,360.3404235839844,1403.0103759765625,337.1883544921875,67.9241943359375,674.0944213867188,50.036216735839844,44.86909866333008,2559.779052734375,21.336345672607422,184.90872192382812,137.45770263671875,77.69340515136719,569.4339599609375,276.3066101074219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4979644,2.0610387,1.4573914,2.4249377,5.1974106,0.63969547,2.4123156,3.843394,0.9126846,2.3817701,1.3017939,0.8569211,1.2430942,1.4431428,weighted_spatial_mean,MML_shr_unet,False
9,one_hot_mc_landmark_sampling,0.95,cp_ellipsoid_sampling_cov,9,54787.82421875,6127.55126953125,64330.19921875,31348.005859375,12284.4716796875,118917.4453125,50841.83203125,2148.04541015625,759.0520629882812,6412.63525390625,4263.806640625,579.2575073242188,4304.048828125,7691.20556640625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.179887,6.0395145,7.4369774,3.0696986,22.099222,13.340671,22.926376,3.9740305,1.5512333,2.3335311,2.5193892,2.5744298,2.9159796,3.9098022,weighted_spatial_mean,MML_shr_unet,False
