,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,decoder_method,model_filename,pixel_based_sampling
0,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,0,105.42459106445312,49.47261428833008,49.83616256713867,308.49090576171875,20.112272262573242,58.77787780761719,145.74227905273438,664.6044921875,10.897811889648438,13.15562629699707,3.5385582447052,7.883609294891357,69.92098236083984,26.256027221679688,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5208039,7.4368124,1.4508808,4.3327293,2.3325086,4.6100855,1.6383798,7.7541447,3.9571052,1.7982434,1.1856314,1.1437976,2.4168262,0.9927234,weighted_spatial_mean,MML_shr_unet,True
1,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,1,43.13113021850586,28.994586944580078,1450.5318603515625,353.8580017089844,36.72727584838867,44.3841552734375,11.892651557922363,75.42445373535156,13.916447639465332,7.223397254943848,9.162729263305664,8.934202194213867,172.3919219970703,34.066776275634766,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.3795435,2.1365502,9.665099,2.7385292,2.2098148,3.87954,0.4183916,0.52925646,1.1075128,0.49381682,2.15257,0.7315299,5.8002787,1.7283682,weighted_spatial_mean,MML_shr_unet,True
2,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,2,2805.7587890625,737.680419921875,1117.17919921875,529.6092529296875,3330.480224609375,200.47349548339844,3224.56494140625,1852.6597900390625,298.7326965332031,2417.4453125,2460.58447265625,334.2221374511719,397.6266174316406,149.7410125732422,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,28.82776,6.1776447,5.4120684,4.8175945,10.439415,2.6391678,14.1102,25.848692,3.8226464,12.695538,8.9532175,2.397806,3.1805673,3.385029,weighted_spatial_mean,MML_shr_unet,True
3,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,3,14.515056610107422,173.92788696289062,78.28041076660156,81.41007232666016,112.8470458984375,3.0495657920837402,41.05501174926758,42.518062591552734,10.341710090637207,2.408003568649292,5.689157962799072,7.7909836769104,10.622194290161133,14.408390998840332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.5012887,1.3940808,3.1941636,2.5398393,1.6961277,1.0760442,0.9815924,2.3825927,0.31224295,0.9857428,1.2402232,1.0209796,0.79957306,1.1416146,weighted_spatial_mean,MML_shr_unet,True
4,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,4,1334.222900390625,214.48590087890625,3617.238037109375,1525.2760009765625,1877.5455322265625,3460.613525390625,4773.1943359375,792.1473388671875,1239.509765625,1096.974853515625,1691.81982421875,2378.029052734375,923.3179321289062,1098.3004150390625,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,37.152306,2.8433099,15.325862,10.624778,9.169683,16.636314,23.547173,12.021629,2.6392531,9.168267,13.9569235,16.990055,9.201259,6.491753,weighted_spatial_mean,MML_shr_unet,True
5,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,5,8.379042625427246,24.985904693603516,2457.95458984375,822.3085327148438,33.167911529541016,85.76566314697266,25.719945907592773,28.6436767578125,56.27683639526367,405.4872741699219,648.2356567382812,2.6949572563171387,1666.5430908203125,164.566162109375,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.65297616,1.6947646,10.812553,6.442493,2.6715226,3.1972363,0.46222052,1.5877233,2.4697828,1.5838736,3.693359,0.9928955,15.79753,6.861359,weighted_spatial_mean,MML_shr_unet,True
6,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,6,973.1687622070312,25.83951759338379,299.8672790527344,48.158329010009766,22.80240249633789,406.1527404785156,211.39459228515625,48.972591400146484,3.4439334869384766,8.880999565124512,12.74653434753418,3.0206751823425293,26.389156341552734,49.61981964111328,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.168359,7.335935,1.7811393,1.3821565,8.247616,3.7878358,1.8829331,1.7300146,0.36537978,0.5471982,0.7324934,1.9560716,1.0309715,1.7176918,weighted_spatial_mean,MML_shr_unet,True
7,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,7,3.5085983276367188,3.4409561157226562,87.00415802001953,56.74018859863281,5.121025085449219,11.632936477661133,9.025798797607422,6.924007415771484,169.88247680664062,124.49073028564453,65.90492248535156,6.23708963394165,546.8380126953125,20.493600845336914,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.80249,1.265772,1.0834882,1.1344438,0.8740854,2.6004713,1.4689986,3.2928326,4.5733666,3.2068915,0.68986213,0.46063116,3.2389202,2.0248504,weighted_spatial_mean,MML_shr_unet,True
8,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,8,10.982681274414062,94.43683624267578,37.65852355957031,6.821168422698975,16.706323623657227,6.93392276763916,17.286020278930664,249.9920654296875,1.8332988023757935,21.71040916442871,23.606138229370117,1.0210204124450684,130.5574493408203,73.82256317138672,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.1455467,1.6794556,1.1419741,2.6432314,2.3788748,0.63228714,2.5699685,3.384757,1.0404046,2.3886254,1.5306959,0.8621021,0.75051546,1.0907927,weighted_spatial_mean,MML_shr_unet,True
9,one_hot_mc,0.7,cp_ellipsoid_heatmap_cov,9,2215.490234375,2755.59130859375,1164.3690185546875,458.0716552734375,5609.732421875,3837.0029296875,6212.95849609375,249.07211303710938,714.3197631835938,108.66801452636719,70.18767547607422,43.94758224487305,552.8298950195312,685.9657592773438,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.361289,6.198854,5.0435514,5.7488656,19.832096,9.385847,19.624302,3.3489332,1.9625651,2.0707636,2.3620589,1.8710992,2.1489139,2.7827847,weighted_spatial_mean,MML_shr_unet,True
