,model,confidence,approach,idx,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,area_10,area_11,area_12,area_13,in_region_0,in_region_1,in_region_2,in_region_3,in_region_4,in_region_5,in_region_6,in_region_7,in_region_8,in_region_9,in_region_10,in_region_11,in_region_12,in_region_13,error_0,error_1,error_2,error_3,error_4,error_5,error_6,error_7,error_8,error_9,error_10,error_11,error_12,error_13,decoder_method,model_filename,pixel_based_sampling
0,one_hot,0.7,cp_ellipsoid_heatmap_cov,0,8.304337501525879,14.047932624816895,20.428163528442383,80.45714569091797,25.88731575012207,45.140323638916016,47.51580047607422,300.7948303222656,3.4349887371063232,8.622757911682129,4.08787202835083,2.5239789485931396,75.97655487060547,16.21320343017578,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.652312,8.039488,0.8933408,1.6856748,2.532861,4.5919757,0.86572605,4.5392942,2.758035,1.7308666,1.1793422,1.0728886,2.2082171,0.744859,weighted_spatial_mean,MML_shr_unet,True
1,one_hot,0.7,cp_ellipsoid_heatmap_cov,1,14.21256160736084,5.117417335510254,948.5344848632812,82.75064086914062,41.46706771850586,49.326812744140625,6.845332622528076,41.72245407104492,6.206923961639404,5.704712390899658,7.799464225769043,10.933972358703613,47.39629364013672,11.2659912109375,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0001237,1.7497658,4.787626,1.6001315,2.147356,4.1894326,0.59358937,0.804766,1.0873972,0.46934044,1.9919066,0.79598975,1.7243775,0.68356675,weighted_spatial_mean,MML_shr_unet,True
2,one_hot,0.7,cp_ellipsoid_heatmap_cov,2,6531.25146484375,156.4507598876953,166.47998046875,88.30270385742188,1115.572265625,70.68406677246094,4184.21875,813.4764404296875,609.4918823242188,2993.392578125,2245.732177734375,330.32061767578125,359.1880187988281,207.66567993164062,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20.464514,7.397785,2.270513,3.4226787,2.2655864,2.806939,12.777046,22.79912,4.7871637,5.063442,2.2306995,0.94407237,2.204029,2.7243278,weighted_spatial_mean,MML_shr_unet,True
3,one_hot,0.7,cp_ellipsoid_heatmap_cov,3,15.572413444519043,22.59388542175293,117.98438262939453,35.26530075073242,24.76089096069336,4.768974304199219,45.577388763427734,19.90515899658203,3.744901180267334,2.2531838417053223,2.1527247428894043,2.710573673248291,3.9284238815307617,5.803943634033203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.5648901,0.21408978,3.3665051,1.5978564,1.1463028,1.058093,0.7852519,2.2385979,0.39447868,0.79594636,1.2931967,1.2122841,0.72901237,1.2404002,weighted_spatial_mean,MML_shr_unet,True
4,one_hot,0.7,cp_ellipsoid_heatmap_cov,4,7249.080078125,21.83342742919922,2679.39013671875,94.08528900146484,580.4890747070312,341.0372619628906,1054.3292236328125,972.4293823242188,2841.548583984375,311.05364990234375,967.9926147460938,6762.62451171875,683.0301513671875,648.1469116210938,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.305513,1.5131031,6.110178,1.7283041,1.7965126,7.3522153,6.191204,5.280761,6.846995,2.5465088,6.199292,11.681398,4.7290487,2.4396806,weighted_spatial_mean,MML_shr_unet,True
5,one_hot,0.7,cp_ellipsoid_heatmap_cov,5,9.602906227111816,11.829607963562012,5849.6376953125,1563.0264892578125,11.501392364501953,175.1759796142578,34.31267166137695,43.34453582763672,343.97613525390625,190.46414184570312,247.51092529296875,5.048177719116211,806.4827270507812,42.390682220458984,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6007172,2.0221233,8.45819,5.151095,2.2722623,3.404223,0.5049197,1.6107061,2.6031663,2.7578094,1.1102738,0.9036319,4.812264,2.6998546,weighted_spatial_mean,MML_shr_unet,True
6,one_hot,0.7,cp_ellipsoid_heatmap_cov,6,266.80194091796875,8.014331817626953,2044.74951171875,49.85692596435547,19.30643081665039,318.41131591796875,116.2769546508789,25.11650276184082,3.6523895263671875,4.8382062911987305,4.020058631896973,3.0278990268707275,6.997521877288818,12.691460609436035,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.362598,9.559043,6.869609,1.5293967,8.02715,3.280192,0.9549746,1.528005,0.4409142,0.7367797,0.8448266,1.9666537,0.99271065,0.8239351,weighted_spatial_mean,MML_shr_unet,True
7,one_hot,0.7,cp_ellipsoid_heatmap_cov,7,3.1209964752197266,3.16658616065979,48.12904357910156,29.12346839904785,5.88029670715332,14.740478515625,8.849905014038086,4.602395534515381,188.149658203125,64.03799438476562,27.80902862548828,9.82443904876709,85.28388977050781,5.620058059692383,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.8273071,1.1928629,1.5981187,1.1718621,0.9729718,2.6941397,1.4796859,3.281379,3.3159816,3.8403275,1.1482658,0.57830244,1.1060843,2.2803755,weighted_spatial_mean,MML_shr_unet,True
8,one_hot,0.7,cp_ellipsoid_heatmap_cov,8,9.112223625183105,7.629398822784424,75.51703643798828,5.74785852432251,8.268939018249512,14.455743789672852,13.125961303710938,26.12567710876465,2.0854060649871826,9.999150276184082,6.0986456871032715,3.3332486152648926,16.771787643432617,21.73576545715332,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0869648,1.2717339,1.0266448,2.8534467,1.6294461,0.66454405,2.2747247,2.093746,0.9242168,2.4709713,1.8015982,0.80378085,1.1653091,0.60522187,weighted_spatial_mean,MML_shr_unet,True
9,one_hot,0.7,cp_ellipsoid_heatmap_cov,9,3151.337646484375,413.7712097167969,819.0281982421875,77.9389877319336,1233.83251953125,621.77978515625,6024.55419921875,62.91425323486328,227.71624755859375,81.86249542236328,75.25060272216797,12.165434837341309,1493.20849609375,1740.9315185546875,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.5443442,4.048177,5.889261,10.5861025,4.5822697,3.3999932,9.415482,0.6280844,2.286846,1.7441335,2.5987947,1.3578392,5.7522106,3.6536431,weighted_spatial_mean,MML_shr_unet,True
10,one_hot,0.7,cp_ellipsoid_heatmap_cov,10,45.67967987060547,7131.09326171875,604.7500610351562,159.06497192382812,2.1037471294403076,44.657039642333984,37.654518127441406,574.6200561523438,290.5707092285156,285.1197204589844,210.59756469726562,965.292236328125,705.093994140625,166.6404571533203,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0279903,11.680688,3.8463435,4.1930623,1.919983,2.6938894,2.6272306,5.5941973,2.2272193,1.9273776,2.989797,15.0070305,4.882016,2.040314,weighted_spatial_mean,MML_shr_unet,True
