,,Test 1,Test 1,Test 1,Test 1,Test 1,Test 2,Test 2,Test 2,Test 2,Test 2
Model Name,Decoder,PE,SDR 2mm,SDR 2.5mm,SDR 3mm,SDR 4mm,PE,SDR 2mm,SDR 2.5mm,SDR 3mm,SDR 4mm
SCN,local soft argmax,1.1448,86.21,90.53,93.84,97.21,1.2045,83.63000000000001,89.68,93.32000000000001,96.84
SCN ENSEMBLE,local soft argmax,1.1008,87.21,91.16,94.42,97.58,1.167,84.95,90.68,93.89,97.16
SCN ENSEMBLE LS,local soft argmax,1.0839,87.21,91.53,95.11,97.74000000000001,1.1463,85.32,91.36999999999999,94.47,97.42
SCN MC,local soft argmax,1.1482,85.95,90.58,93.58,97.11,1.2078,83.74000000000001,89.74,93.0,96.78999999999999
SCN MC LS,local soft argmax,1.1212,86.53,90.74,94.37,97.42,1.1891,84.21,90.16,93.78999999999999,97.21
SCN MC TTA,local soft argmax,1.0934,86.95,91.36999999999999,94.67999999999999,97.42,1.1611,84.84,90.58,93.37,97.05
SCN MC TTA LS,local soft argmax,1.1175,86.74,91.67999999999999,94.63000000000001,97.63,1.1572,85.05,90.84,93.95,97.58
SCN TTA,local soft argmax,1.0977,87.16000000000001,91.25999999999999,94.63000000000001,97.42,1.1654,84.95,90.16,93.26,97.11
SCN TTA LS,local soft argmax,1.1164,86.68,91.58,94.67999999999999,97.53,1.1771,84.26,90.63,93.78999999999999,97.32
